cod_municipio,municipio,latitud,longitud,altitud,poblacion,centros_salud_10mil,farmacias_10mil,g_supermercados_count,g_supermercados_reviews,g_supermercados_rating_wavg,g_conveniencia_count,g_conveniencia_reviews,g_conveniencia_rating_wavg,g_farmacias_count,g_farmacias_reviews,g_farmacias_rating_wavg,g_bancos_count,g_bancos_reviews,g_bancos_rating_wavg,g_cajeros_count,g_cajeros_reviews,g_cajeros_rating_wavg,g_gasolineras_count,g_gasolineras_reviews,g_gasolineras_rating_wavg,g_hospitales_clinicas_count,g_hospitales_clinicas_reviews,g_hospitales_clinicas_rating_wavg,g_medicos_familia_count,g_medicos_familia_reviews,g_medicos_familia_rating_wavg,g_escuelas_infantiles_count,g_escuelas_infantiles_reviews,g_escuelas_infantiles_rating_wavg,g_colegios_institutos_count,g_colegios_institutos_reviews,g_colegios_institutos_rating_wavg,g_universidad_fp_count,g_universidad_fp_reviews,g_universidad_fp_rating_wavg,g_paradas_bus_count,g_paradas_bus_reviews,g_paradas_bus_rating_wavg,g_estaciones_principales_count,g_estaciones_principales_reviews,g_estaciones_principales_rating_wavg,g_aparcamientos_count,g_aparcamientos_reviews,g_aparcamientos_rating_wavg,g_restaurantes_count,g_restaurantes_reviews,g_restaurantes_rating_wavg,g_cafeterias_count,g_cafeterias_reviews,g_cafeterias_rating_wavg,g_bares_count,g_bares_reviews,g_bares_rating_wavg,g_cines_count,g_cines_reviews,g_cines_rating_wavg,g_gimnasios_count,g_gimnasios_reviews,g_gimnasios_rating_wavg,g_parques_count,g_parques_reviews,g_parques_rating_wavg,g_centros_comerciales_count,g_centros_comerciales_reviews,g_centros_comerciales_rating_wavg,g_comisarias_count,g_comisarias_reviews,g_comisarias_rating_wavg,g_bomberos_count,g_bomberos_reviews,g_bomberos_rating_wavg,g_ayuntamientos_count,g_ayuntamientos_reviews,g_ayuntamientos_rating_wavg,g_juzgados_count,g_juzgados_reviews,g_juzgados_rating_wavg,aq_aqi,aq_co_value,aq_no2_value,aq_o3_value,aq_pm10_value,aq_pm25_value,aq_so2_value,paro_total,distancia_capital,afiliados_agricultura_y_ganadería,afiliados_construcción,afiliados_minería_industria_y_energía,afiliados_otros_servicios,afiliados_servicios_a_empresas_y_financieros,afiliados_servicios_de_distribución_y_hostelería,afiliados_total,alumnos_total,cultura,g_bomberos_rating_min,g_bomberos_rating_max,g_cines_rating_min,g_cines_rating_max,g_centros_comerciales_rating_min,g_centros_comerciales_rating_max,g_comisarias_rating_min,g_comisarias_rating_max,g_gimnasios_rating_min,g_gimnasios_rating_max,g_medicos_familia_rating_min,g_medicos_familia_rating_max,g_conveniencia_rating_min,g_conveniencia_rating_max,g_cajeros_rating_min,g_cajeros_rating_max,g_bancos_rating_min,g_bancos_rating_max,g_colegios_institutos_rating_min,g_colegios_institutos_rating_max,g_cafeterias_rating_min,g_cafeterias_rating_max,g_gasolineras_rating_min,g_gasolineras_rating_max,g_aparcamientos_rating_min,g_aparcamientos_rating_max,g_estaciones_principales_rating_min,g_estaciones_principales_rating_max,g_farmacias_rating_min,g_farmacias_rating_max,g_ayuntamientos_rating_min,g_ayuntamientos_rating_max,g_supermercados_rating_min,g_supermercados_rating_max
164,Atazar (El),40.93333,-3.466667,900.2352,107.0,0,0,1,57,4.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,21,2293,4.254,0,0,0.0,20,2293,4.254,0,0,0.0,20,2293,4.254,23,2293,4.254,20,25,4.712,5,437,4.002,6,2045,4.321,0,0,0.0,5,1471,4.33,0,0,0.0,0,0,0.0,20,508,4.115,0,0,0.0,0,0,0.0,0,0,0.0,4,64,3.616,20,2293,4.254,69,436.64,1.03,38.94,7.35,7.34,0.76,10,84.846,0,5,11,12,8,7,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,0.0,0.0,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
170,Batres,40.21029,-3.922307,603.6849,1957.0,0,5,20,5739,3.994,9,45,4.24,16,653,4.33,20,303,2.402,20,305,2.439,10,915,4.055,26,8684,4.279,15,1243,4.622,20,8381,4.284,23,200,4.704,20,8381,4.284,22,8384,4.283,20,11,4.0,20,75,4.019,20,14343,4.232,17,7646,4.318,20,5625,4.19,0,0,0.0,20,811,4.371,20,373,4.067,6,499,4.205,6,17,3.553,0,0,0.0,5,591,3.23,20,8381,4.284,67,458.53,35.42,12.49,31.54,20.36,0.79,82,37.802,0,52,52,212,163,186,665,118,2.0,0.0,0.0,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
186,Becerril de la Sierra,40.71638,-3.989412,1086.586,6553.0,0,3,20,9846,4.06,6,1429,3.868,17,624,3.733,16,230,3.338,15,107,4.004,16,1772,4.086,27,20178,4.269,20,3283,3.834,20,17392,4.362,22,63,4.805,20,17392,4.362,25,17428,4.361,23,319,4.109,20,91,4.313,20,19890,4.435,20,7854,4.299,20,19916,4.43,0,0,0.0,20,2012,4.375,20,1374,4.448,2,3,3.7,10,17,3.529,1,28,4.7,6,1308,3.665,20,17392,4.362,61,507.28,23.53,28.35,23.95,23.95,1.22,327,50.448,12,246,144,787,712,770,2671,1272,0.0,4.536947368421052,4.536947368421052,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
199,Belmonte de Tajo,40.13364,-3.339654,732.0183,1919.0,0,5,11,2843,4.203,5,718,3.909,10,166,4.384,9,110,2.045,9,82,2.206,5,1301,3.92,27,6473,4.267,7,117,3.103,20,6460,4.268,20,37,4.797,20,6460,4.268,22,6462,4.268,20,0,4.060059602649006,18,180,4.029,20,14441,4.279,14,2853,4.349,20,6416,4.271,0,0,0.0,13,231,4.598,20,303,4.414,1,0,4.077411764705882,4,14,3.014,1,0,4.536947368421052,4,277,3.664,20,6460,4.268,85,168.27,17.68,19.54,13.61,8.97,1.9,108,57.499,11,81,131,190,129,177,719,366,0.0,4.536947368421052,4.536947368421052,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
210,Berrueco (El),40.88814,-3.561255,937.1234,828.0,0,12,5,1806,4.01,2,16,4.75,3,88,3.66,2,46,3.652,2,46,3.652,6,1495,3.855,21,6497,4.076,3,2,5.0,20,6497,4.076,8,0,4.732145038167937,20,6497,4.076,26,6507,4.077,20,8,4.375,10,52,4.317,20,23697,4.154,9,4210,4.078,19,11825,4.131,0,0,0.0,7,279,4.251,20,3805,4.166,1,19,4.1,3,8,4.3,2,0,4.536947368421052,3,151,4.225,20,6497,4.076,71,441.92,9.43,36.89,24.32,15.58,0.87,39,66.347,2,32,11,90,36,67,238,12,1.0,4.536947368421052,4.536947368421052,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
203,Berzosa del Lozoya,40.97594,-3.525082,1079.826,234.0,0,0,1,57,4.5,0,0,0.0,1,16,5.0,0,0,0.0,0,0,0.0,0,0,0.0,21,2570,4.301,0,0,0.0,20,2570,4.301,0,0,0.0,20,2570,4.301,25,2571,4.3,20,13,4.708,3,17,4.135,9,2571,4.388,0,0,0.0,9,1866,4.324,0,0,0.0,0,0,0.0,20,339,3.862,0,0,0.0,0,0,0.0,0,0,0.0,5,83,3.818,20,2570,4.301,69,438.03,8.63,38.61,23.09,15.2,0.78,3,82.228,0,7,5,28,10,6,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
231,Boalo (El),40.71746,-3.920084,953.0439,8548.0,0,4,17,9212,4.038,4,1109,3.634,11,411,3.617,11,128,3.644,10,70,3.873,10,949,3.962,24,9798,4.256,16,824,3.562,20,9466,4.302,21,300,4.871,20,9466,4.302,26,9506,4.3,20,13,3.923,20,721,4.278,20,15165,4.391,20,7058,4.353,20,16284,4.393,1,63,4.5,20,2115,4.419,20,1245,4.555,2,3,3.7,6,11,3.455,0,0,0.0,4,889,3.758,20,9466,4.302,60,515.75,22.14,29.44,27.01,24.93,1.28,363,55.387,29,291,204,1138,966,880,3508,3930,1.0,0.0,0.0,4.356607843137255,4.356607843137255,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
246,Braojos,41.04005,-3.643112,1189.477,219.0,0,46,4,855,3.964,2,403,3.767,3,53,2.887,2,59,2.163,2,39,2.4,5,1376,3.972,22,7634,4.345,2,9,5.0,20,7630,4.344,9,53,5.0,20,7630,4.344,32,7678,4.345,20,14,4.357,13,17,4.171,20,13971,4.002,6,1806,4.127,20,7006,4.213,0,0,0.0,1,0,4.475327731092436,20,193,4.382,0,0,0.0,1,10,4.6,0,0,0.0,8,209,4.018,20,7630,4.344,71,444.04,2.77,37.15,9.24,8.21,0.92,7,83.276,6,11,7,46,12,21,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
259,Brea de Tajo,40.23012,-3.109499,722.8417,567.0,0,17,2,174,3.332,0,0,0.0,3,18,4.689,1,0,2.8033969465648854,4,0,2.950320610687023,1,119,3.8,22,336,4.17,1,0,4.053031496062992,20,331,4.17,7,0,4.732145038167937,20,331,4.17,22,331,4.17,12,3,4.667,2,7,4.6,8,1021,4.155,1,53,4.6,7,409,4.474,0,0,0.0,3,1,3.0,20,18,4.261,0,0,0.0,1,0,4.000368421052631,0,0,0.0,3,97,4.476,20,331,4.17,81,89.97,11.46,24.3,9.64,8.76,1.91,34,65.168,9,15,17,84,33,32,190,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,0.0,0.0,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
262,Brunete,40.40554,-3.997736,654.7903,11263.0,0,3,18,6694,4.099,12,1159,3.94,17,4137,4.076,15,354,2.401,18,260,2.453,4,1399,3.936,30,4955,3.986,20,1462,3.887,20,4119,3.924,22,1141,4.685,26,4383,3.978,23,4119,3.924,21,18,4.217,17,168,4.355,20,12252,4.251,20,5525,4.228,20,9786,4.289,3,2,5.0,20,1404,4.422,20,1057,4.274,4,157,4.336,5,24,3.9,1,1,5.0,4,643,4.011,20,4119,3.924,67,442.51,36.94,11.2,33.59,20.69,1.01,397,38.308,24,372,223,1716,1315,1380,5030,4550,1.0,4.536947368421052,4.536947368421052,4.356607843137255,4.356607843137255,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
278,Buitrago del Lozoya,40.99368,-3.636723,977.8387,1970.0,5,5,4,855,3.964,2,403,3.767,4,69,3.377,2,59,2.163,2,39,2.4,5,1376,3.972,21,10272,4.292,2,9,5.0,20,10269,4.291,7,46,5.0,20,10269,4.291,34,10316,4.292,20,77,4.514,16,83,4.181,20,15508,4.084,6,1806,4.127,20,10633,4.106,0,0,0.0,1,0,4.475327731092436,20,740,4.255,0,0,0.0,1,10,4.6,1,11,4.7,7,198,4.066,20,10269,4.291,71,445.83,9.64,36.82,24.8,16.15,0.92,83,76.377,21,67,68,344,123,260,883,6926,5.0,4.536947368421052,4.536947368421052,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
284,Bustarviejo,40.85811,-3.70969,1217.359,2833.0,0,4,9,647,4.26,2,161,4.007,7,155,4.124,4,47,3.528,3,28,3.468,2,196,3.85,22,837,4.283,5,228,4.212,20,835,4.291,12,452,4.9,20,835,4.291,22,837,4.292,20,16,3.862,14,135,4.441,20,13310,4.374,10,3161,4.365,20,6455,4.315,1,117,3.7,6,190,4.488,20,936,4.039,0,0,0.0,2,6,3.7,0,0,0.0,5,637,3.961,20,835,4.291,74,476.26,4.77,32.36,13.53,9.26,1.26,146,64.721,14,75,91,428,236,233,1077,486,1.0,0.0,0.0,4.356607843137255,4.356607843137255,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
297,Cabanillas de la Sierra,40.81968,-3.626066,921.8676,949.0,0,11,12,2195,3.837,4,172,4.127,8,179,4.031,7,87,3.62,4,57,3.893,7,1700,3.884,21,820,4.245,5,10,2.1,20,820,4.245,13,22,4.914,20,820,4.245,28,827,4.248,20,24,3.6,20,132,4.232,20,16179,4.1,15,2911,4.316,20,9588,4.137,0,0,0.0,12,975,4.462,20,2882,4.088,0,0,0.0,1,0,4.000368421052631,2,0,4.536947368421052,6,728,3.961,20,820,4.245,76,465.51,5.05,30.9,13.66,8.14,1.24,29,55.486,4,27,26,123,85,103,368,418,0.0,4.536947368421052,4.536947368421052,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
301,Cabrera (La),40.86399,-3.615572,1040.395,2952.0,3,3,7,1271,3.998,2,16,4.562,8,179,4.008,3,58,3.828,3,46,3.652,7,1593,3.827,21,2184,4.065,3,3,4.667,20,2184,4.065,11,0,4.732145038167937,20,2184,4.065,26,2193,4.069,20,8,3.75,12,63,4.448,20,17345,4.151,13,3831,4.185,20,10416,4.159,0,0,0.0,9,287,4.272,20,3869,4.248,1,19,4.1,2,8,4.3,2,0,4.536947368421052,5,225,4.299,20,2184,4.065,74,453.27,10.49,33.48,21.19,13.29,1.04,153,60.42,10,105,65,390,223,379,1172,2358,1.0,4.536947368421052,4.536947368421052,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
318,Cadalso de los Vidrios,40.30094,-4.443737,799.9886,3274.0,3,3,8,366,4.062,4,272,4.022,2,16,2.975,6,27,3.456,8,21,3.824,5,198,3.989,21,258,4.419,2,1,5.0,20,258,4.419,9,0,4.732145038167937,20,258,4.419,22,259,4.414,20,5,4.42,1,0,4.050594594594595,20,5414,4.206,5,538,4.221,20,3176,4.238,0,0,0.0,1,6,3.7,20,5891,4.008,0,0,0.0,1,0,4.000368421052631,1,0,4.536947368421052,2,71,4.232,20,258,4.419,75,90.34,4.43,31.44,13.85,13.85,2.71,220,89.965,36,176,79,414,171,220,1096,880,4.0,4.536947368421052,4.536947368421052,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
323,Camarma de Esteruelas,40.54861,-3.377597,639.19,8107.0,0,2,20,34516,4.078,18,3628,4.042,20,1371,4.06,20,1432,3.749,20,465,2.204,20,6869,4.075,40,35710,3.897,20,4838,3.701,20,32245,4.012,25,1650,4.839,40,33351,4.021,24,32253,4.012,23,652,3.468,20,75,4.168,20,27812,3.922,20,9271,4.077,20,14536,4.085,4,7354,3.8,20,6720,4.208,20,7923,4.208,14,49204,4.056,6,28,3.043,1,19,4.5,4,504,3.722,20,32245,4.012,72,486.23,24.49,17.17,30.29,17.47,2.7,447,37.479,5,238,468,745,684,1122,3262,3404,1.0,4.536947368421052,4.536947368421052,4.356607843137255,4.356607843137255,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
339,Campo Real,40.33815,-3.380982,765.6791,6766.0,1,3,15,5758,4.05,8,2312,4.052,20,784,4.426,20,660,3.142,20,488,3.629,7,1807,3.922,26,1161,3.212,20,1438,4.244,20,803,3.489,24,155,4.063,21,807,3.489,25,811,3.492,21,159,3.51,20,22,3.477,20,6969,4.238,20,4339,4.344,20,6238,4.334,0,0,0.0,20,3422,4.296,20,379,3.453,5,1242,3.876,7,33,4.164,0,0,0.0,4,821,3.619,20,803,3.489,78,308.84,24.45,9.87,19.06,13.68,2.48,332,34.635,12,223,560,570,589,936,2890,1662,1.0,0.0,0.0,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
344,Canencia,40.90981,-3.737718,1142.31,468.0,0,21,8,594,4.228,2,161,4.007,5,66,4.253,3,18,3.567,3,11,4.5,1,116,4.1,21,4330,4.44,0,0,0.0,20,4330,4.44,7,131,4.7,20,4330,4.44,23,4332,4.44,20,12,4.358,11,402,3.992,20,10525,4.308,7,3547,4.521,20,6903,4.29,0,0,0.0,1,0,4.475327731092436,20,1892,4.318,0,0,0.0,1,0,4.000368421052631,0,0,0.0,3,287,3.764,20,4330,4.44,69,384.25,10.7,34.12,26.7,19.02,1.23,24,82.184,16,14,9,42,22,38,141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,0.0,0.0,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
357,Carabaña,40.25669,-3.234641,612.9524,2375.0,0,4,5,328,3.906,2,14,3.571,5,47,4.785,2,33,2.991,3,12,3.5,2,202,3.736,20,3964,4.625,0,0,0.0,20,3964,4.625,9,0,4.732145038167937,20,3964,4.625,21,3964,4.625,20,12,4.408,9,7,4.143,15,7269,4.407,0,0,0.0,18,2216,4.144,0,0,0.0,1,0,4.475327731092436,19,250,4.266,1,3,4.7,1,2,5.0,0,0,0.0,3,127,4.22,20,3964,4.625,67,89.65,20.74,24.72,25.74,20.13,1.91,127,53.449,8,99,99,260,159,250,875,412,0.0,0.0,0.0,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,0.0,0.0,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,0.0,0.0,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
360,Casarrubuelos,40.17114,-3.833068,624.7643,4225.0,0,5,20,16722,4.07,16,368,3.945,20,1059,4.51,20,534,2.223,20,365,2.425,20,3053,3.955,35,21990,4.247,20,2641,3.676,20,20131,4.341,30,132,4.559,20,20131,4.341,22,20150,4.341,21,49,2.714,20,82,3.301,20,22261,4.204,20,3908,4.203,20,13696,4.125,1,0,4.356607843137255,20,1686,4.713,20,303,4.056,10,1824,4.025,10,49,3.529,1,3,5.0,9,1261,3.684,20,20131,4.341,61,548.95,28.31,14.6,31.71,24.13,0.78,202,33.936,5,150,187,427,336,514,1619,852,0.0,4.536947368421052,4.536947368421052,4.356607843137255,4.356607843137255,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
376,Cenicientos,40.26463,-4.464909,778.7822,2141.0,0,5,8,366,4.062,4,272,4.022,2,16,2.975,6,27,3.456,8,21,3.824,6,228,4.056,21,305,4.452,2,1,5.0,20,305,4.452,8,0,4.732145038167937,20,305,4.452,22,306,4.447,20,10,3.6,0,0,0.0,20,4463,4.316,5,538,4.221,20,3340,4.342,0,0,0.0,1,6,3.7,20,48,4.902,0,0,0.0,1,0,4.000368421052631,1,0,4.536947368421052,1,48,4.2,20,305,4.452,54,88.5,13.03,27.86,30.81,30.81,2.39,168,95.124,31,82,33,245,93,187,671,454,1.0,4.536947368421052,4.536947368421052,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,0.0,0.0,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
382,Cercedilla,40.74145,-4.054667,1191.372,7646.0,1,4,15,3539,3.859,6,1429,3.868,12,318,4.323,11,136,3.385,10,66,4.042,5,486,4.154,23,16769,4.393,18,550,4.596,20,16473,4.403,20,53,4.813,22,16506,4.404,21,16476,4.403,23,280,4.078,20,1066,4.101,20,24187,4.413,20,8160,4.331,20,16672,4.416,0,0,0.0,17,407,4.784,20,20507,4.43,0,0,0.0,8,14,3.793,2,30,4.72,4,927,3.692,20,16473,4.403,65,424.24,18.83,32.5,21.5,21.5,1.3,361,57.007,30,273,119,1278,690,807,3197,2622,0.0,4.536947368421052,4.536947368421052,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
