cod_municipio,municipio,latitud,longitud,altitud,poblacion
1087,Pedrezuela,40.74369,-3.603798,869.5692,6475.0
1090,Pelayos de la Presa,40.35954,-4.334138,561.4791,3106.0
1104,Perales de Tajuña,40.23453,-3.352198,577.9905,3195.0
1111,Pezuela de las Torres,40.41869,-3.177605,855.1563,990.0
1126,Pinilla del Valle,40.9262,-3.819392,1097.138,199.0
1147,Piñuécar-Gandullas,41.03265,-3.599468,1063.421,185.0
1163,Pozuelo del Rey,40.36622,-3.321994,807.1237,1302.0
1179,Prádena del Rincón,41.04411,-3.540921,1114.976,139.0
1185,Puebla de la Sierra,41.01208,-3.444847,1160.507,93.0
9020,Puentes Viejas,40.99496,-3.550907,1065.958,774.0
1198,Quijorna,40.42656,-4.057429,574.5786,3987.0
1202,Rascafría,40.90381,-3.879398,1157.038,1712.0
1219,Redueña,40.8163,-3.603684,823.9578,292.0
1224,Ribatejada,40.6665,-3.392131,761.6322,911.0
1245,Robledillo de la Jara,40.95299,-3.525749,1017.706,132.0
1258,Robledo de Chavela,40.50089,-4.238043,893.4601,4763.0
1261,Robregordo,41.10658,-3.593292,1297.608,73.0
1283,Rozas de Puerto Real,40.31007,-4.490765,876.1035,581.0
1296,San Agustín del Guadalix,40.67867,-3.615861,667.7155,13849.0
1300,San Fernando de Henares,40.42553,-3.536694,591.3853,38969.0
1317,San Lorenzo de El Escorial,40.59167,-4.149123,1052.468,18772.0
1322,San Martín de la Vega,40.2078,-3.568544,517.0689,20664.0
1338,San Martín de Valdeiglesias,40.36174,-4.397521,677.8516,9120.0
1356,Santa María de la Alameda,40.5957,-4.257937,1411.015,1516.0
1369,Santorcaz,40.47216,-3.233114,864.0168,998.0
1375,Santos de la Humosa (Los),40.50191,-3.254799,875.056,2797.0
1381,Serna del Monte (La),41.02979,-3.625026,1072.925,105.0
1408,Serranillos del Valle,40.20465,-3.885819,650.8673,4632.0
1415,Sevilla la Nueva,40.34781,-4.027501,674.3175,9694.0
1436,Somosierra,41.13312,-3.581837,1436.419,98.0
1441,Soto del Real,40.75428,-3.783356,922.4442,9436.0
1454,Talamanca de Jarama,40.74688,-3.513244,655.0905,4526.0
1467,Tielmes,40.24457,-3.314466,580.7983,2807.0
1473,Titulcia,40.13673,-3.570501,514.1019,1393.0
1492,Torrejón de la Calzada,40.20154,-3.798929,632.9291,10366.0
1505,Torrejón de Velasco,40.18713,-3.778751,609.1476,4887.0
1512,Torrelaguna,40.82785,-3.538488,742.3256,4992.0
1527,Torrelodones,40.57628,-3.929452,847.145,25250.0
1533,Torremocha de Jarama,40.83705,-3.494407,705.3375,1134.0
1548,Torres de la Alameda,40.40473,-3.360132,668.0449,7742.0
1551,Valdaracete,40.21115,-3.194556,737.9929,653.0
1564,Valdeavero,40.63099,-3.332983,713.679,1817.0
1570,Valdelaguna,40.16192,-3.367249,710.8623,1079.0
1586,Valdemanco,40.87252,-3.662956,1133.363,1065.0
1599,Valdemaqueda,40.51147,-4.295926,864.9176,836.0
1603,Valdemorillo,40.50208,-4.065841,820.9337,14139.0
1625,Valdeolmos-Alalpardo,40.62949,-3.475017,680.2087,4579.0
1631,Valdepiélagos,40.76059,-3.465914,744.8907,623.0
1646,Valdetorres de Jarama,40.69559,-3.514251,651.753,5050.0
1659,Valdilecha,40.29548,-3.303884,724.2806,3228.0
1662,Valverde de Alcalá,40.41972,-3.298921,733.9373,555.0
1678,Velilla de San Antonio,40.36703,-3.488029,555.8903,14008.0
1684,Vellón (El),40.76603,-3.582034,894.388,2160.0
1697,Venturada,40.79869,-3.622139,883.1885,2577.0
1718,Villa del Prado,40.27678,-4.305642,512.4543,7424.0
1701,Villaconejos,40.10424,-3.484903,635.7664,3487.0
1723,Villalbilla,40.43228,-3.298869,744.6702,17967.0
1739,Villamanrique de Tajo,40.06812,-3.240428,549.4291,820.0
1744,Villamanta,40.29961,-4.110051,550.4752,2855.0
1757,Villamantilla,40.33805,-4.13056,550.092,1620.0
1760,Villanueva de la Cañada,40.44681,-4.005355,655.8425,23714.0
1782,Villanueva de Perales,40.34705,-4.101031,594.7557,1718.0
1776,Villanueva del Pardillo,40.49063,-3.964322,653.1323,17994.0
1795,Villar del Olmo,40.33669,-3.235551,680.3748,2274.0
1809,Villarejo de Salvanés,40.16873,-3.275975,759.0782,7887.0
1816,Villaviciosa de Odón,40.3571,-3.90059,647.7311,29294.0
1821,Villavieja del Lozoya,41.00592,-3.671118,1062.474,327.0
1837,Zarzalejo,40.54749,-4.181604,1105.808,1870.0
