Año;Tipo territorio;Código territorio;Territorio;Rama de actividad;Valor;Estado dato
2015;Municipios;1512;Torrelaguna;Minería, industria y energía;216;
2015;Municipios;1527;Torrelodones;Minería, industria y energía;312;
2015;Municipios;1533;Torremocha de Jarama;Minería, industria y energía;19;
2015;Municipios;1548;Torres de la Alameda;Minería, industria y energía;494;
2015;Municipios;9036;Tres Cantos;Minería, industria y energía;1131;
2015;Municipios;1551;Valdaracete;Minería, industria y energía;46;
2015;Municipios;1564;Valdeavero;Minería, industria y energía;40;
2015;Municipios;1570;Valdelaguna;Minería, industria y energía;35;
2015;Municipios;1586;Valdemanco;Minería, industria y energía;28;
2015;Municipios;1599;Valdemaqueda;Minería, industria y energía;10;
2015;Municipios;1603;Valdemorillo;Minería, industria y energía;213;
2015;Municipios;1610;Valdemoro;Minería, industria y energía;2085;
2015;Municipios;1625;Valdeolmos-Alalpardo;Minería, industria y energía;99;
2015;Municipios;1631;Valdepiélagos;Minería, industria y energía;22;
2015;Municipios;1646;Valdetorres de Jarama;Minería, industria y energía;117;
2015;Municipios;1659;Valdilecha;Minería, industria y energía;162;
2015;Municipios;1662;Valverde de Alcalá;Minería, industria y energía;24;
2015;Municipios;1678;Velilla de San Antonio;Minería, industria y energía;625;
2015;Municipios;1684;Vellón (El);Minería, industria y energía;88;
2015;Municipios;1697;Venturada;Minería, industria y energía;34;
2015;Municipios;1718;Villa del Prado;Minería, industria y energía;85;
2015;Municipios;1701;Villaconejos;Minería, industria y energía;116;
2015;Municipios;1723;Villalbilla;Minería, industria y energía;467;
2015;Municipios;1739;Villamanrique de Tajo;Minería, industria y energía;30;
2015;Municipios;1744;Villamanta;Minería, industria y energía;40;
2015;Municipios;1757;Villamantilla;Minería, industria y energía;28;
2015;Municipios;1760;Villanueva de la Cañada;Minería, industria y energía;269;
2015;Municipios;1782;Villanueva de Perales;Minería, industria y energía;26;
2015;Municipios;1776;Villanueva del Pardillo;Minería, industria y energía;259;
2015;Municipios;1795;Villar del Olmo;Minería, industria y energía;72;
2015;Municipios;1809;Villarejo de Salvanés;Minería, industria y energía;572;
2015;Municipios;1816;Villaviciosa de Odón;Minería, industria y energía;765;
2015;Municipios;1821;Villavieja del Lozoya;Minería, industria y energía;6;
2015;Municipios;1837;Zarzalejo;Minería, industria y energía;36;
2015;Zonas Estadísticas;03;Este Metropolitano;Minería, industria y energía;29213;
2015;Zonas Estadísticas;01;Municipio de Madrid;Minería, industria y energía;65642;
2015;Zonas Estadísticas;07;Nordeste Comunidad;Minería, industria y energía;2275;
2015;Zonas Estadísticas;02;Norte Metropolitano;Minería, industria y energía;9783;
2015;Zonas Estadísticas;05;Oeste Metropolitano;Minería, industria y energía;8731;
2015;Zonas Estadísticas;11;Sierra Central;Minería, industria y energía;2650;
2015;Zonas Estadísticas;06;Sierra Norte;Minería, industria y energía;1030;
2015;Zonas Estadísticas;10;Sierra Sur;Minería, industria y energía;532;
2015;Zonas Estadísticas;99;Sin Zona asignada;Minería, industria y energía;21017;
2015;Zonas Estadísticas;08;Sudeste Comunidad;Minería, industria y energía;4826;
2015;Zonas Estadísticas;09;Sudoeste Comunidad;Minería, industria y energía;3613;
2015;Zonas Estadísticas;04;Sur Metropolitano;Minería, industria y energía;44264;
2016;Comunidad de Madrid;;Comunidad de Madrid;Minería, industria y energía;196362;
2016;Municipios;0014;Acebeda (La);Minería, industria y energía;5;
2016;Municipios;0029;Ajalvir;Minería, industria y energía;182;
2016;Municipios;0035;Alameda del Valle;Minería, industria y energía;2;
2016;Municipios;0040;Álamo (El);Minería, industria y energía;241;
2016;Municipios;0053;Alcalá de Henares;Minería, industria y energía;8686;
2016;Municipios;0066;Alcobendas;Minería, industria y energía;3168;
2016;Municipios;0072;Alcorcón;Minería, industria y energía;4599;
2016;Municipios;0088;Aldea del Fresno;Minería, industria y energía;44;
2016;Municipios;0091;Algete;Minería, industria y energía;801;
2016;Municipios;0105;Alpedrete;Minería, industria y energía;245;
2016;Municipios;0112;Ambite;Minería, industria y energía;14;
2016;Municipios;0127;Anchuelo;Minería, industria y energía;54;
2016;Municipios;0133;Aranjuez;Minería, industria y energía;2111;
2016;Municipios;0148;Arganda del Rey;Minería, industria y energía;4030;
2016;Municipios;0151;Arroyomolinos;Minería, industria y energía;656;
2016;Municipios;0164;Atazar (El);Minería, industria y energía;9;
2016;Municipios;0170;Batres;Minería, industria y energía;46;
2016;Municipios;0186;Becerril de la Sierra;Minería, industria y energía;92;
2016;Municipios;0199;Belmonte de Tajo;Minería, industria y energía;111;
2016;Municipios;0210;Berrueco (El);Minería, industria y energía;6;
2016;Municipios;0203;Berzosa del Lozoya;Minería, industria y energía;2;
2016;Municipios;0225;Boadilla del Monte;Minería, industria y energía;930;
2016;Municipios;0231;Boalo (El);Minería, industria y energía;147;
2016;Municipios;0246;Braojos;Minería, industria y energía;3;
2016;Municipios;0259;Brea de Tajo;Minería, industria y energía;15;
2016;Municipios;0262;Brunete;Minería, industria y energía;194;
2016;Municipios;0278;Buitrago del Lozoya;Minería, industria y energía;60;
2016;Municipios;0284;Bustarviejo;Minería, industria y energía;50;
2016;Municipios;0297;Cabanillas de la Sierra;Minería, industria y energía;8;
2016;Municipios;0301;Cabrera (La);Minería, industria y energía;58;
2016;Municipios;0318;Cadalso de los Vidrios;Minería, industria y energía;74;
2016;Municipios;0323;Camarma de Esteruelas;Minería, industria y energía;327;
2016;Municipios;0339;Campo Real;Minería, industria y energía;390;
2016;Municipios;0344;Canencia;Minería, industria y energía;6;
2016;Municipios;0357;Carabaña;Minería, industria y energía;55;
2016;Municipios;0360;Casarrubuelos;Minería, industria y energía;118;
2016;Municipios;0376;Cenicientos;Minería, industria y energía;37;
2016;Municipios;0382;Cercedilla;Minería, industria y energía;87;
2016;Municipios;0395;Cervera de Buitrago;Minería, industria y energía;0;
2016;Municipios;0513;Chapinería;Minería, industria y energía;45;
2016;Municipios;0528;Chinchón;Minería, industria y energía;132;
2016;Municipios;0409;Ciempozuelos;Minería, industria y energía;663;
2016;Municipios;0416;Cobeña;Minería, industria y energía;225;
2016;Municipios;0468;Collado Mediano;Minería, industria y energía;113;
2016;Municipios;0474;Collado Villalba;Minería, industria y energía;1143;
2016;Municipios;0437;Colmenar de Oreja;Minería, industria y energía;316;
2016;Municipios;0421;Colmenar del Arroyo;Minería, industria y energía;23;
2016;Municipios;0455;Colmenar Viejo;Minería, industria y energía;1598;
2016;Municipios;0442;Colmenarejo;Minería, industria y energía;118;
2016;Municipios;0480;Corpa;Minería, industria y energía;36;
2016;Municipios;0493;Coslada;Minería, industria y energía;3240;
2016;Municipios;0506;Cubas de la Sagra;Minería, industria y energía;199;
2016;Municipios;0534;Daganzo de Arriba;Minería, industria y energía;428;
2016;Municipios;0549;Escorial (El);Minería, industria y energía;225;
2016;Municipios;0552;Estremera;Minería, industria y energía;25;
2016;Municipios;0565;Fresnedillas de la Oliva;Minería, industria y energía;23;
2016;Municipios;0571;Fresno de Torote;Minería, industria y energía;71;
2016;Municipios;0587;Fuenlabrada;Minería, industria y energía;8576;
2016;Municipios;0590;Fuente el Saz de Jarama;Minería, industria y energía;273;
2016;Municipios;0604;Fuentidueña de Tajo;Minería, industria y energía;94;
2016;Municipios;0611;Galapagar;Minería, industria y energía;465;
2016;Municipios;0626;Garganta de los Montes;Minería, industria y energía;7;
2016;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Minería, industria y energía;2;
2016;Municipios;0647;Gascones;Minería, industria y energía;4;
2016;Municipios;0650;Getafe;Minería, industria y energía;6626;
2016;Municipios;0663;Griñón;Minería, industria y energía;447;
2016;Municipios;0679;Guadalix de la Sierra;Minería, industria y energía;141;
2016;Municipios;0685;Guadarrama;Minería, industria y energía;206;
2016;Municipios;0698;Hiruela (La);Minería, industria y energía;1;
2016;Municipios;0702;Horcajo de la Sierra-Aoslos;Minería, industria y energía;2;
2016;Municipios;0719;Horcajuelo de la Sierra;Minería, industria y energía;0;
2016;Municipios;0724;Hoyo de Manzanares;Minería, industria y energía;99;
2016;Municipios;0730;Humanes de Madrid;Minería, industria y energía;923;
2016;Municipios;0745;Leganés;Minería, industria y energía;5728;
2016;Municipios;0758;Loeches;Minería, industria y energía;507;
2016;Municipios;0761;Lozoya;Minería, industria y energía;22;
2016;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Minería, industria y energía;9;
2016;Municipios;0783;Madarcos;Minería, industria y energía;2;
2016;Municipios;0796;Madrid;Minería, industria y energía;64983;
2016;Municipios;0800;Majadahonda;Minería, industria y energía;1247;
2016;Municipios;0822;Manzanares el Real;Minería, industria y energía;156;
2016;Municipios;0838;Meco;Minería, industria y energía;565;
2016;Municipios;0843;Mejorada del Campo;Minería, industria y energía;1260;
2016;Municipios;0856;Miraflores de la Sierra;Minería, industria y energía;122;
2016;Municipios;0869;Molar (El);Minería, industria y energía;284;
2016;Municipios;0875;Molinos (Los);Minería, industria y energía;46;
2016;Municipios;0881;Montejo de la Sierra;Minería, industria y energía;4;
2016;Municipios;0894;Moraleja de Enmedio;Minería, industria y energía;293;
2016;Municipios;0908;Moralzarzal;Minería, industria y energía;202;
2016;Municipios;0915;Morata de Tajuña;Minería, industria y energía;392;
2016;Municipios;0920;Móstoles;Minería, industria y energía;6334;
2016;Municipios;0936;Navacerrada;Minería, industria y energía;35;
2016;Municipios;0941;Navalafuente;Minería, industria y energía;16;
2016;Municipios;0954;Navalagamella;Minería, industria y energía;39;
2016;Municipios;0967;Navalcarnero;Minería, industria y energía;705;
2016;Municipios;0973;Navarredonda y San Mamés;Minería, industria y energía;2;
2016;Municipios;0992;Navas del Rey;Minería, industria y energía;55;
2016;Municipios;1006;Nuevo Baztán;Minería, industria y energía;203;
2016;Municipios;1013;Olmeda de las Fuentes;Minería, industria y energía;3;
2016;Municipios;1028;Orusco de Tajuña;Minería, industria y energía;54;
2016;Municipios;1049;Paracuellos de Jarama;Minería, industria y energía;660;
2016;Municipios;1065;Parla;Minería, industria y energía;4186;
2016;Municipios;1071;Patones;Minería, industria y energía;24;
2016;Municipios;1087;Pedrezuela;Minería, industria y energía;138;
2016;Municipios;1090;Pelayos de la Presa;Minería, industria y energía;27;
2016;Municipios;1104;Perales de Tajuña;Minería, industria y energía;131;
2016;Municipios;1111;Pezuela de las Torres;Minería, industria y energía;25;
2016;Municipios;1126;Pinilla del Valle;Minería, industria y energía;6;
2016;Municipios;1132;Pinto;Minería, industria y energía;2439;
2016;Municipios;1147;Piñuécar-Gandullas;Minería, industria y energía;7;
2016;Municipios;1150;Pozuelo de Alarcón;Minería, industria y energía;1725;
2016;Municipios;1163;Pozuelo del Rey;Minería, industria y energía;49;
2016;Municipios;1179;Prádena del Rincón;Minería, industria y energía;2;
2016;Municipios;1185;Puebla de la Sierra;Minería, industria y energía;1;
2016;Municipios;9020;Puentes Viejas;Minería, industria y energía;11;
2016;Municipios;1198;Quijorna;Minería, industria y energía;54;
2016;Municipios;1202;Rascafría;Minería, industria y energía;26;
2016;Municipios;1219;Redueña;Minería, industria y energía;9;
2016;Municipios;1224;Ribatejada;Minería, industria y energía;17;
2016;Municipios;1230;Rivas-Vaciamadrid;Minería, industria y energía;2259;
2016;Municipios;1245;Robledillo de la Jara;Minería, industria y energía;1;
2016;Municipios;1258;Robledo de Chavela;Minería, industria y energía;45;
2016;Municipios;1261;Robregordo;Minería, industria y energía;0;
2016;Municipios;1277;Rozas de Madrid (Las);Minería, industria y energía;1678;
2016;Municipios;1283;Rozas de Puerto Real;Minería, industria y energía;1;
2016;Municipios;1296;San Agustín del Guadalix;Minería, industria y energía;348;
2016;Municipios;1300;San Fernando de Henares;Minería, industria y energía;1731;
2016;Municipios;1317;San Lorenzo de El Escorial;Minería, industria y energía;245;
2016;Municipios;1322;San Martín de la Vega;Minería, industria y energía;597;
2016;Municipios;1338;San Martín de Valdeiglesias;Minería, industria y energía;113;
2016;Municipios;1343;San Sebastián de los Reyes;Minería, industria y energía;2509;
2016;Municipios;1356;Santa María de la Alameda;Minería, industria y energía;18;
2016;Municipios;1369;Santorcaz;Minería, industria y energía;19;
2016;Municipios;1375;Santos de la Humosa (Los);Minería, industria y energía;105;
2016;Municipios;1381;Serna del Monte (La);Minería, industria y energía;2;
2016;Municipios;1408;Serranillos del Valle;Minería, industria y energía;149;
2016;Municipios;1415;Sevilla la Nueva;Minería, industria y energía;196;
2016;Municipios;9999;Sin municipio asignado;Minería, industria y energía;22726;
2016;Municipios;1436;Somosierra;Minería, industria y energía;1;
2016;Municipios;1441;Soto del Real;Minería, industria y energía;183;
2016;Municipios;1454;Talamanca de Jarama;Minería, industria y energía;124;
2016;Municipios;1467;Tielmes;Minería, industria y energía;198;
2016;Municipios;1473;Titulcia;Minería, industria y energía;45;
2016;Municipios;1489;Torrejón de Ardoz;Minería, industria y energía;6743;
2016;Municipios;1492;Torrejón de la Calzada;Minería, industria y energía;329;
2016;Municipios;1505;Torrejón de Velasco;Minería, industria y energía;175;
2016;Municipios;1512;Torrelaguna;Minería, industria y energía;236;
2016;Municipios;1527;Torrelodones;Minería, industria y energía;325;
2016;Municipios;1533;Torremocha de Jarama;Minería, industria y energía;24;
2016;Municipios;1548;Torres de la Alameda;Minería, industria y energía;527;
2016;Municipios;9036;Tres Cantos;Minería, industria y energía;1152;
2016;Municipios;1551;Valdaracete;Minería, industria y energía;39;
2016;Municipios;1564;Valdeavero;Minería, industria y energía;44;
2016;Municipios;1570;Valdelaguna;Minería, industria y energía;37;
2016;Municipios;1586;Valdemanco;Minería, industria y energía;27;
2016;Municipios;1599;Valdemaqueda;Minería, industria y energía;11;
2016;Municipios;1603;Valdemorillo;Minería, industria y energía;211;
2016;Municipios;1610;Valdemoro;Minería, industria y energía;2130;
2016;Municipios;1625;Valdeolmos-Alalpardo;Minería, industria y energía;112;
2016;Municipios;1631;Valdepiélagos;Minería, industria y energía;27;
2016;Municipios;1646;Valdetorres de Jarama;Minería, industria y energía;137;
2016;Municipios;1659;Valdilecha;Minería, industria y energía;167;
2016;Municipios;1662;Valverde de Alcalá;Minería, industria y energía;23;
2016;Municipios;1678;Velilla de San Antonio;Minería, industria y energía;657;
2016;Municipios;1684;Vellón (El);Minería, industria y energía;81;
2016;Municipios;1697;Venturada;Minería, industria y energía;37;
2016;Municipios;1718;Villa del Prado;Minería, industria y energía;94;
2016;Municipios;1701;Villaconejos;Minería, industria y energía;128;
2016;Municipios;1723;Villalbilla;Minería, industria y energía;501;
2016;Municipios;1739;Villamanrique de Tajo;Minería, industria y energía;31;
2016;Municipios;1744;Villamanta;Minería, industria y energía;55;
2016;Municipios;1757;Villamantilla;Minería, industria y energía;35;
2016;Municipios;1760;Villanueva de la Cañada;Minería, industria y energía;262;
2016;Municipios;1782;Villanueva de Perales;Minería, industria y energía;31;
2016;Municipios;1776;Villanueva del Pardillo;Minería, industria y energía;263;
2016;Municipios;1795;Villar del Olmo;Minería, industria y energía;75;
2016;Municipios;1809;Villarejo de Salvanés;Minería, industria y energía;581;
2016;Municipios;1816;Villaviciosa de Odón;Minería, industria y energía;762;
2016;Municipios;1821;Villavieja del Lozoya;Minería, industria y energía;6;
2016;Municipios;1837;Zarzalejo;Minería, industria y energía;37;
2016;Zonas Estadísticas;03;Este Metropolitano;Minería, industria y energía;29448;
2016;Zonas Estadísticas;01;Municipio de Madrid;Minería, industria y energía;64983;
2016;Zonas Estadísticas;07;Nordeste Comunidad;Minería, industria y energía;2409;
2016;Zonas Estadísticas;02;Norte Metropolitano;Minería, industria y energía;9801;
2016;Zonas Estadísticas;05;Oeste Metropolitano;Minería, industria y energía;8830;
2016;Zonas Estadísticas;11;Sierra Central;Minería, industria y energía;2696;
2016;Zonas Estadísticas;06;Sierra Norte;Minería, industria y energía;1060;
2016;Zonas Estadísticas;10;Sierra Sur;Minería, industria y energía;548;
2016;Zonas Estadísticas;99;Sin Zona asignada;Minería, industria y energía;22726;
2016;Zonas Estadísticas;08;Sudeste Comunidad;Minería, industria y energía;5082;
2016;Zonas Estadísticas;09;Sudoeste Comunidad;Minería, industria y energía;3867;
2016;Zonas Estadísticas;04;Sur Metropolitano;Minería, industria y energía;44912;
2017;Comunidad de Madrid;;Comunidad de Madrid;Minería, industria y energía;200625;
2017;Municipios;0014;Acebeda (La);Minería, industria y energía;4;
2017;Municipios;0029;Ajalvir;Minería, industria y energía;185;
2017;Municipios;0035;Alameda del Valle;Minería, industria y energía;4;
2017;Municipios;0040;Álamo (El);Minería, industria y energía;246;
2017;Municipios;0053;Alcalá de Henares;Minería, industria y energía;8835;
2017;Municipios;0066;Alcobendas;Minería, industria y energía;3161;
2017;Municipios;0072;Alcorcón;Minería, industria y energía;4614;
2017;Municipios;0088;Aldea del Fresno;Minería, industria y energía;51;
2017;Municipios;0091;Algete;Minería, industria y energía;817;
2017;Municipios;0105;Alpedrete;Minería, industria y energía;255;
2017;Municipios;0112;Ambite;Minería, industria y energía;15;
2017;Municipios;0127;Anchuelo;Minería, industria y energía;51;
2017;Municipios;0133;Aranjuez;Minería, industria y energía;2138;
2017;Municipios;0148;Arganda del Rey;Minería, industria y energía;4179;
2017;Municipios;0151;Arroyomolinos;Minería, industria y energía;690;
2017;Municipios;0164;Atazar (El);Minería, industria y energía;9;
2017;Municipios;0170;Batres;Minería, industria y energía;45;
2017;Municipios;0186;Becerril de la Sierra;Minería, industria y energía;95;
2017;Municipios;0199;Belmonte de Tajo;Minería, industria y energía;134;
2017;Municipios;0210;Berrueco (El);Minería, industria y energía;8;
2017;Municipios;0203;Berzosa del Lozoya;Minería, industria y energía;2;
2017;Municipios;0225;Boadilla del Monte;Minería, industria y energía;924;
2017;Municipios;0231;Boalo (El);Minería, industria y energía;146;
2017;Municipios;0246;Braojos;Minería, industria y energía;4;
2017;Municipios;0259;Brea de Tajo;Minería, industria y energía;13;
2017;Municipios;0262;Brunete;Minería, industria y energía;194;
2017;Municipios;0278;Buitrago del Lozoya;Minería, industria y energía;60;
2017;Municipios;0284;Bustarviejo;Minería, industria y energía;54;
2017;Municipios;0297;Cabanillas de la Sierra;Minería, industria y energía;8;
2017;Municipios;0301;Cabrera (La);Minería, industria y energía;63;
2017;Municipios;0318;Cadalso de los Vidrios;Minería, industria y energía;70;
2017;Municipios;0323;Camarma de Esteruelas;Minería, industria y energía;334;
2017;Municipios;0339;Campo Real;Minería, industria y energía;418;
2017;Municipios;0344;Canencia;Minería, industria y energía;10;
2017;Municipios;0357;Carabaña;Minería, industria y energía;70;
2017;Municipios;0360;Casarrubuelos;Minería, industria y energía;131;
2017;Municipios;0376;Cenicientos;Minería, industria y energía;39;
2017;Municipios;0382;Cercedilla;Minería, industria y energía;90;
2017;Municipios;0395;Cervera de Buitrago;Minería, industria y energía;0;
2017;Municipios;0513;Chapinería;Minería, industria y energía;53;
2017;Municipios;0528;Chinchón;Minería, industria y energía;151;
2017;Municipios;0409;Ciempozuelos;Minería, industria y energía;709;
2017;Municipios;0416;Cobeña;Minería, industria y energía;229;
2017;Municipios;0468;Collado Mediano;Minería, industria y energía;109;
2017;Municipios;0474;Collado Villalba;Minería, industria y energía;1201;
2017;Municipios;0437;Colmenar de Oreja;Minería, industria y energía;326;
2017;Municipios;0421;Colmenar del Arroyo;Minería, industria y energía;30;
2017;Municipios;0455;Colmenar Viejo;Minería, industria y energía;1620;
2017;Municipios;0442;Colmenarejo;Minería, industria y energía;127;
2017;Municipios;0480;Corpa;Minería, industria y energía;39;
2017;Municipios;0493;Coslada;Minería, industria y energía;3218;
2017;Municipios;0506;Cubas de la Sagra;Minería, industria y energía;217;
2017;Municipios;0534;Daganzo de Arriba;Minería, industria y energía;426;
2017;Municipios;0549;Escorial (El);Minería, industria y energía;232;
2017;Municipios;0552;Estremera;Minería, industria y energía;22;
2017;Municipios;0565;Fresnedillas de la Oliva;Minería, industria y energía;22;
2017;Municipios;0571;Fresno de Torote;Minería, industria y energía;74;
2017;Municipios;0587;Fuenlabrada;Minería, industria y energía;8793;
2017;Municipios;0590;Fuente el Saz de Jarama;Minería, industria y energía;267;
2017;Municipios;0604;Fuentidueña de Tajo;Minería, industria y energía;102;
2017;Municipios;0611;Galapagar;Minería, industria y energía;484;
2017;Municipios;0626;Garganta de los Montes;Minería, industria y energía;9;
2017;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Minería, industria y energía;4;
2017;Municipios;0647;Gascones;Minería, industria y energía;6;
2017;Municipios;0650;Getafe;Minería, industria y energía;7261;
2017;Municipios;0663;Griñón;Minería, industria y energía;449;
2017;Municipios;0679;Guadalix de la Sierra;Minería, industria y energía;157;
2017;Municipios;0685;Guadarrama;Minería, industria y energía;220;
2017;Municipios;0698;Hiruela (La);Minería, industria y energía;0;
2017;Municipios;0702;Horcajo de la Sierra-Aoslos;Minería, industria y energía;1;
2017;Municipios;0719;Horcajuelo de la Sierra;Minería, industria y energía;0;
2017;Municipios;0724;Hoyo de Manzanares;Minería, industria y energía;108;
2017;Municipios;0730;Humanes de Madrid;Minería, industria y energía;948;
2017;Municipios;0745;Leganés;Minería, industria y energía;5889;
2017;Municipios;0758;Loeches;Minería, industria y energía;512;
2017;Municipios;0761;Lozoya;Minería, industria y energía;20;
2017;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Minería, industria y energía;15;
2017;Municipios;0783;Madarcos;Minería, industria y energía;2;
2017;Municipios;0796;Madrid;Minería, industria y energía;64740;
2017;Municipios;0800;Majadahonda;Minería, industria y energía;1220;
2017;Municipios;0822;Manzanares el Real;Minería, industria y energía;163;
2017;Municipios;0838;Meco;Minería, industria y energía;574;
2017;Municipios;0843;Mejorada del Campo;Minería, industria y energía;1254;
2017;Municipios;0856;Miraflores de la Sierra;Minería, industria y energía;123;
2017;Municipios;0869;Molar (El);Minería, industria y energía;293;
2017;Municipios;0875;Molinos (Los);Minería, industria y energía;48;
2017;Municipios;0881;Montejo de la Sierra;Minería, industria y energía;3;
2017;Municipios;0894;Moraleja de Enmedio;Minería, industria y energía;296;
2017;Municipios;0908;Moralzarzal;Minería, industria y energía;207;
2017;Municipios;0915;Morata de Tajuña;Minería, industria y energía;400;
2017;Municipios;0920;Móstoles;Minería, industria y energía;6463;
2017;Municipios;0936;Navacerrada;Minería, industria y energía;34;
2017;Municipios;0941;Navalafuente;Minería, industria y energía;22;
2017;Municipios;0954;Navalagamella;Minería, industria y energía;32;
2017;Municipios;0967;Navalcarnero;Minería, industria y energía;770;
2017;Municipios;0973;Navarredonda y San Mamés;Minería, industria y energía;2;
2017;Municipios;0992;Navas del Rey;Minería, industria y energía;68;
2017;Municipios;1006;Nuevo Baztán;Minería, industria y energía;209;
2017;Municipios;1013;Olmeda de las Fuentes;Minería, industria y energía;5;
2017;Municipios;1028;Orusco de Tajuña;Minería, industria y energía;57;
2017;Municipios;1049;Paracuellos de Jarama;Minería, industria y energía;705;
2017;Municipios;1065;Parla;Minería, industria y energía;4482;
2017;Municipios;1071;Patones;Minería, industria y energía;23;
2017;Municipios;1087;Pedrezuela;Minería, industria y energía;142;
2017;Municipios;1090;Pelayos de la Presa;Minería, industria y energía;33;
2017;Municipios;1104;Perales de Tajuña;Minería, industria y energía;136;
2017;Municipios;1111;Pezuela de las Torres;Minería, industria y energía;26;
2017;Municipios;1126;Pinilla del Valle;Minería, industria y energía;6;
2017;Municipios;1132;Pinto;Minería, industria y energía;2605;
2017;Municipios;1147;Piñuécar-Gandullas;Minería, industria y energía;8;
2017;Municipios;1150;Pozuelo de Alarcón;Minería, industria y energía;1667;
2017;Municipios;1163;Pozuelo del Rey;Minería, industria y energía;55;
2017;Municipios;1179;Prádena del Rincón;Minería, industria y energía;2;
2017;Municipios;1185;Puebla de la Sierra;Minería, industria y energía;2;
2017;Municipios;9020;Puentes Viejas;Minería, industria y energía;11;
2017;Municipios;1198;Quijorna;Minería, industria y energía;60;
2017;Municipios;1202;Rascafría;Minería, industria y energía;36;
2017;Municipios;1219;Redueña;Minería, industria y energía;9;
2017;Municipios;1224;Ribatejada;Minería, industria y energía;16;
2017;Municipios;1230;Rivas-Vaciamadrid;Minería, industria y energía;2378;
2017;Municipios;1245;Robledillo de la Jara;Minería, industria y energía;1;
2017;Municipios;1258;Robledo de Chavela;Minería, industria y energía;51;
2017;Municipios;1261;Robregordo;Minería, industria y energía;0;
2017;Municipios;1277;Rozas de Madrid (Las);Minería, industria y energía;1633;
2017;Municipios;1283;Rozas de Puerto Real;Minería, industria y energía;4;
2017;Municipios;1296;San Agustín del Guadalix;Minería, industria y energía;354;
2017;Municipios;1300;San Fernando de Henares;Minería, industria y energía;1740;
2017;Municipios;1317;San Lorenzo de El Escorial;Minería, industria y energía;252;
2017;Municipios;1322;San Martín de la Vega;Minería, industria y energía;622;
2017;Municipios;1338;San Martín de Valdeiglesias;Minería, industria y energía;120;
2017;Municipios;1343;San Sebastián de los Reyes;Minería, industria y energía;2548;
2017;Municipios;1356;Santa María de la Alameda;Minería, industria y energía;18;
2017;Municipios;1369;Santorcaz;Minería, industria y energía;20;
2017;Municipios;1375;Santos de la Humosa (Los);Minería, industria y energía;112;
2017;Municipios;1381;Serna del Monte (La);Minería, industria y energía;1;
2017;Municipios;1408;Serranillos del Valle;Minería, industria y energía;157;
2017;Municipios;1415;Sevilla la Nueva;Minería, industria y energía;213;
2017;Municipios;9999;Sin municipio asignado;Minería, industria y energía;24051;
2017;Municipios;1436;Somosierra;Minería, industria y energía;1;
2017;Municipios;1441;Soto del Real;Minería, industria y energía;187;
2017;Municipios;1454;Talamanca de Jarama;Minería, industria y energía;132;
2017;Municipios;1467;Tielmes;Minería, industria y energía;212;
2017;Municipios;1473;Titulcia;Minería, industria y energía;48;
2017;Municipios;1489;Torrejón de Ardoz;Minería, industria y energía;6794;
2017;Municipios;1492;Torrejón de la Calzada;Minería, industria y energía;354;
2017;Municipios;1505;Torrejón de Velasco;Minería, industria y energía;188;
2017;Municipios;1512;Torrelaguna;Minería, industria y energía;233;
2017;Municipios;1527;Torrelodones;Minería, industria y energía;322;
2017;Municipios;1533;Torremocha de Jarama;Minería, industria y energía;26;
2017;Municipios;1548;Torres de la Alameda;Minería, industria y energía;548;
2017;Municipios;9036;Tres Cantos;Minería, industria y energía;1181;
2017;Municipios;1551;Valdaracete;Minería, industria y energía;46;
2017;Municipios;1564;Valdeavero;Minería, industria y energía;42;
2017;Municipios;1570;Valdelaguna;Minería, industria y energía;39;
2017;Municipios;1586;Valdemanco;Minería, industria y energía;24;
2017;Municipios;1599;Valdemaqueda;Minería, industria y energía;12;
2017;Municipios;1603;Valdemorillo;Minería, industria y energía;218;
2017;Municipios;1610;Valdemoro;Minería, industria y energía;2263;
2017;Municipios;1625;Valdeolmos-Alalpardo;Minería, industria y energía;129;
2017;Municipios;1631;Valdepiélagos;Minería, industria y energía;33;
2017;Municipios;1646;Valdetorres de Jarama;Minería, industria y energía;137;
2017;Municipios;1659;Valdilecha;Minería, industria y energía;175;
2017;Municipios;1662;Valverde de Alcalá;Minería, industria y energía;24;
2017;Municipios;1678;Velilla de San Antonio;Minería, industria y energía;678;
2017;Municipios;1684;Vellón (El);Minería, industria y energía;82;
2017;Municipios;1697;Venturada;Minería, industria y energía;48;
2017;Municipios;1718;Villa del Prado;Minería, industria y energía;104;
2017;Municipios;1701;Villaconejos;Minería, industria y energía;128;
2017;Municipios;1723;Villalbilla;Minería, industria y energía;517;
2017;Municipios;1739;Villamanrique de Tajo;Minería, industria y energía;32;
2017;Municipios;1744;Villamanta;Minería, industria y energía;57;
2017;Municipios;1757;Villamantilla;Minería, industria y energía;34;
2017;Municipios;1760;Villanueva de la Cañada;Minería, industria y energía;260;
2017;Municipios;1782;Villanueva de Perales;Minería, industria y energía;30;
2017;Municipios;1776;Villanueva del Pardillo;Minería, industria y energía;279;
