cod_municipio,municipio,latitud,longitud,poblacion,n_gym,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,n_restaurant,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,n_pharmacy,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,n_school,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max
284,Bustarviejo,40.85811,-3.70969,2833.0,5,187,4.475935828877005,4.3,5.0,20,13256,4.3673053711526855,4.1,4.9,6,150,4.127999999999999,3.6,4.4,12,452,4.9,4.9,4.9,22,19,4.042105263157895,1.0,5.0
297,Cabanillas de la Sierra,40.81968,-3.626066,949.0,12,973,4.4622816032887975,3.9,5.0,20,16271,4.101155429905967,3.8,4.9,8,178,4.06123595505618,3.6,4.4,13,22,4.913636363636364,4.9,5.0,28,30,3.7700000000000005,1.0,5.0
301,Cabrera (La),40.86399,-3.615572,2952.0,9,287,4.2717770034843205,4.0,5.0,20,17278,4.144762125245978,3.8,4.8,8,178,4.037640449438202,3.6,4.4,11,0,,,,26,17,4.352941176470588,1.0,5.0
318,Cadalso de los Vidrios,40.30094,-4.443737,3274.0,1,2,1.0,1.0,1.0,20,5393,4.207417022065641,3.9,5.0,2,16,2.9749999999999996,2.0,3.3,9,0,,,,22,6,4.183333333333334,3.0,5.0
323,Camarma de Esteruelas,40.54861,-3.377597,8107.0,20,6657,4.208998047168395,3.1,5.0,20,27626,3.9096213711720837,3.5,4.6,20,1356,4.050811209439528,3.2,4.8,20,1595,4.837742946708464,3.7,5.0,27,659,3.474810318664644,2.2,5.0
339,Campo Real,40.33815,-3.380982,6766.0,20,3417,4.296429616622769,3.5,5.0,20,6933,4.237617193134285,3.4,4.6,20,767,4.42425032594524,1.0,5.0,20,154,4.123376623376624,3.2,5.0,26,166,3.5210843373493974,1.0,5.0
344,Canencia,40.90981,-3.737718,468.0,1,0,,,,20,10489,4.309676804271141,3.3,4.7,4,61,4.273770491803279,3.6,4.9,7,131,4.7,4.7,4.7,23,14,4.378571428571428,3.7,4.6
357,Carabaña,40.25669,-3.234641,2375.0,1,0,,,,15,7243,4.4059643794008,2.5,5.0,5,47,4.785106382978723,4.7,5.0,9,0,,,,21,11,4.3545454545454545,3.0,5.0
360,Casarrubuelos,40.17114,-3.833068,4225.0,20,1667,4.714937012597481,3.7,5.0,20,22152,4.2045232936078,2.8,4.8,20,1049,4.50838894184938,3.9,5.0,20,131,4.558778625954199,3.8,5.0,23,67,3.0865671641791046,1.0,4.2
376,Cenicientos,40.26463,-4.464909,2141.0,1,2,1.0,1.0,1.0,20,4452,4.318553459119496,3.8,4.8,2,16,2.9749999999999996,2.0,3.3,8,0,,,,22,11,3.5454545454545454,2.8,5.0
382,Cercedilla,40.74145,-4.054667,7646.0,17,407,4.7842751842751845,4.3,5.0,20,24102,4.412455397892292,3.7,4.7,12,315,4.3330158730158725,3.7,5.0,20,51,4.884313725490196,4.5,5.0,24,283,4.0586572438162545,2.3,5.0
395,Cervera de Buitrago,40.92196,-3.53016,161.0,2,0,,,,20,13079,4.298302622524658,3.9,5.0,2,21,4.771428571428571,4.2,5.0,1,0,,,,25,16,4.7,4.0,5.0
513,Chapinería,40.37918,-4.20943,2634.0,8,172,4.696511627906976,3.0,5.0,20,7182,4.364160401002507,3.8,5.0,6,81,4.090123456790123,3.5,4.6,14,1286,4.757931570762054,4.7,5.0,24,44,4.163636363636363,1.0,5.0
528,Chinchón,40.14019,-3.415684,5820.0,10,80,4.441249999999999,3.7,5.0,20,23096,4.273956529269138,3.6,4.7,7,105,4.196190476190476,3.2,5.0,14,19,4.605263157894737,4.5,5.0,21,15,4.2733333333333325,3.5,5.0
409,Ciempozuelos,40.15934,-3.6184,26046.0,20,2704,4.491383136094675,1.7,5.0,20,13263,4.033966674206439,3.5,4.6,20,979,3.9516853932584266,2.0,4.7,20,304,4.260526315789474,3.7,5.0,23,315,3.1285714285714286,1.0,5.0
416,Cobeña,40.56733,-3.504839,7742.0,20,1368,4.650877192982456,3.3,5.0,20,21095,4.109789049537804,3.4,4.6,12,522,4.34272030651341,3.8,4.9,20,210,4.935714285714286,4.8,5.0,26,26,3.930769230769231,1.0,5.0
