Municipio;Tipo de dato;Periodo;Total
43037 Calafell;Índice;2023;119,173
43038 Cambrils;Índice;2023;114,823
43051 Cunit;Índice;2023;118,205
43092 Mont-roig del Camp;Índice;2023;115,320
43123 Reus;Índice;2023;117,419
43136 Ràpita, La;Índice;2023;113,389
43148 Tarragona;Índice;2023;118,022
43153 Torredembarra;Índice;2023;119,657
43155 Tortosa;Índice;2023;114,403
43161 Valls;Índice;2023;115,451
43163 Vendrell, El;Índice;2023;120,865
43171 Vila-seca;Índice;2023;115,076
43901 Deltebre;Índice;2023;115,951
43905 Salou;Índice;2023;113,990
Resto Tarragona;Índice;2023;114,831
44013 Alcañiz;Índice;2023;112,843
44216 Teruel;Índice;2023;117,700
Resto Teruel;Índice;2023;110,843
45019 Bargas;Índice;2023;124,457
45066 Fuensalida;Índice;2023;127,717
45081 Illescas;Índice;2023;129,942
45087 Madridejos;Índice;2023;115,344
45121 Ocaña;Índice;2023;134,634
45142 Quintanar de la Orden;Índice;2023;114,458
45161 Seseña;Índice;2023;130,055
45163 Sonseca;Índice;2023;127,328
45165 Talavera de la Reina;Índice;2023;116,133
45168 Toledo;Índice;2023;121,002
45173 Torrijos;Índice;2023;119,981
45205 Yuncos;Índice;2023;122,297
Resto Toledo;Índice;2023;120,277
46005 Alaquàs;Índice;2023;124,747
46007 Albal;Índice;2023;124,175
46011 Alberic;Índice;2023;111,864
46013 Alboraia/Alboraya;Índice;2023;124,848
46015 Alcàsser;Índice;2023;126,997
46017 Alzira;Índice;2023;120,825
46019 Alcúdia, l';Índice;2023;124,285
46021 Aldaia;Índice;2023;125,030
46022 Alfafar;Índice;2023;121,667
46029 Algemesí;Índice;2023;122,895
46031 Alginet;Índice;2023;120,117
46051 Benaguasil;Índice;2023;122,335
46054 Benetússer;Índice;2023;121,484
46060 Benifaió;Índice;2023;121,419
46070 Bétera;Índice;2023;125,508
46078 Burjassot;Índice;2023;127,255
46081 Canals;Índice;2023;104,996
46083 Carcaixent;Índice;2023;115,733
46085 Carlet;Índice;2023;115,803
46094 Catarroja;Índice;2023;123,099
46102 Quart de Poblet;Índice;2023;121,815
46105 Cullera;Índice;2023;115,571
46110 Xirivella;Índice;2023;125,284
46111 Chiva;Índice;2023;113,879
46116 Eliana, l';Índice;2023;124,882
46131 Gandia;Índice;2023;118,675
46135 Godella;Índice;2023;124,179
46145 Xàtiva;Índice;2023;120,050
46147 Llíria;Índice;2023;115,416
46159 Manises;Índice;2023;122,883
46164 Massamagrell;Índice;2023;125,369
46166 Meliana;Índice;2023;123,773
46169 Mislata;Índice;2023;126,612
46171 Montcada/Moncada;Índice;2023;128,901
46181 Oliva;Índice;2023;117,658
46184 Ontinyent;Índice;2023;124,703
46186 Paiporta;Índice;2023;124,968
46190 Paterna;Índice;2023;123,227
46193 Picanya;Índice;2023;126,019
46194 Picassent;Índice;2023;125,326
46202 Pobla de Vallbona, la;Índice;2023;128,520
46205 Puçol;Índice;2023;126,388
46213 Requena;Índice;2023;115,691
46214 Riba-roja de Túria;Índice;2023;132,723
46220 Sagunt/Sagunto;Índice;2023;124,961
46223 Sedaví;Índice;2023;123,434
46230 Silla;Índice;2023;123,082
46235 Sueca;Índice;2023;115,362
46238 Tavernes de la Valldigna;Índice;2023;113,940
46244 Torrent;Índice;2023;123,599
46249 Utiel;Índice;2023;112,124
46250 València;Índice;2023;128,869
46256 Vilamarxant;Índice;2023;122,904
Resto Valencia/València;Índice;2023;120,579
47010 Arroyo de la Encomienda;Índice;2023;120,226
47076 Laguna de Duero;Índice;2023;115,866
47085 Medina del Campo;Índice;2023;111,064
47186 Valladolid;Índice;2023;114,596
Resto Valladolid;Índice;2023;114,801
49021 Benavente;Índice;2023;109,973
49275 Zamora;Índice;2023;110,137
Resto Zamora;Índice;2023;108,273
50067 Calatayud;Índice;2023;114,454
50074 Caspe;Índice;2023;105,821
50089 Cuarte de Huerva;Índice;2023;121,619
50095 Ejea de los Caballeros;Índice;2023;117,878
50251 Tarazona;Índice;2023;116,825
50272 Utebo;Índice;2023;117,260
50297 Zaragoza;Índice;2023;116,059
Resto Zaragoza;Índice;2023;116,284
51001 Ceuta;Índice;2023;108,542
52001 Melilla;Índice;2023;107,428
