1548,Torres de la Alameda,"7.742,00"
1809,Villarejo de Salvanés,"7.887,00"
783,Madarcos,"70,00"
112,Ambite,"701,00"
1261,Robregordo,"73,00"
800,Majadahonda,"73.547,00"
9020,Puentes Viejas,"774,00"
480,Corpa,"795,00"
323,Camarma de Esteruelas,"8.107,00"
915,Morata de Tajuña,"8.294,00"
231,Boalo (El),"8.548,00"
437,Colmenar de Oreja,"8.982,00"
493,Coslada,"80.688,00"
1739,Villamanrique de Tajo,"820,00"
210,Berrueco (El),"828,00"
1610,Valdemoro,"83.582,00"
1599,Valdemaqueda,"836,00"
698,Hiruela (La),"84,00"
1150,Pozuelo de Alarcón,"89.123,00"
1338,San Martín de Valdeiglesias,"9.120,00"
724,Hoyo de Manzanares,"9.186,00"
758,Loeches,"9.253,00"
1441,Soto del Real,"9.436,00"
822,Manzanares el Real,"9.539,00"
1415,Sevilla la Nueva,"9.694,00"
442,Colmenarejo,"9.741,00"
1224,Ribatejada,"911,00"
1185,Puebla de la Sierra,"93,00"
1343,San Sebastián de los Reyes,"94.942,00"
297,Cabanillas de la Sierra,"949,00"
1436,Somosierra,"98,00"
1277,Rozas de Madrid (Las),"99.193,00"
1111,Pezuela de las Torres,"990,00"
1369,Santorcaz,"998,00"
