Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2016;Municipios;1317;San Lorenzo de El Escorial;62.624;
2016;Municipios;1322;San Martín de la Vega;30.402;
2016;Municipios;1338;San Martín de Valdeiglesias;78.770;
2016;Municipios;1343;San Sebastián de los Reyes;20.284;
2016;Municipios;1356;Santa María de la Alameda;70.111;
2016;Municipios;1369;Santorcaz;45.724;
2016;Municipios;1375;Santos de la Humosa (Los);46.496;
2016;Municipios;1381;Serna del Monte (La);80.844;
2016;Municipios;1408;Serranillos del Valle;35.694;
2016;Municipios;1415;Sevilla la Nueva;42.875;
2016;Municipios;1436;Somosierra;93.268;
2016;Municipios;1441;Soto del Real;44.268;
2016;Municipios;1454;Talamanca de Jarama;47.636;
2016;Municipios;1467;Tielmes;45.405;
2016;Municipios;1473;Titulcia;40.449;
2016;Municipios;1489;Torrejón de Ardoz;22.712;
2016;Municipios;1492;Torrejón de la Calzada;27.728;
2016;Municipios;1505;Torrejón de Velasco;29.513;
2016;Municipios;1512;Torrelaguna;60.357;
2016;Municipios;1527;Torrelodones;30.262;
2016;Municipios;1533;Torremocha de Jarama;64.681;
2016;Municipios;1548;Torres de la Alameda;37.051;
2016;Municipios;9036;Tres Cantos;24.566;
2016;Municipios;1551;Valdaracete;58.985;
2016;Municipios;1564;Valdeavero;47.888;
2016;Municipios;1570;Valdelaguna;50.708;
2016;Municipios;1586;Valdemanco;65.264;
2016;Municipios;1599;Valdemaqueda;80.311;
2016;Municipios;1603;Valdemorillo;49.031;
2016;Municipios;1610;Valdemoro;28.750;
2016;Municipios;1625;Valdeolmos-Alalpardo;37.129;
2016;Municipios;1631;Valdepiélagos;51.502;
2016;Municipios;1646;Valdetorres de Jarama;41.951;
2016;Municipios;1659;Valdilecha;45.871;
2016;Municipios;1662;Valverde de Alcalá;42.548;
2016;Municipios;1678;Velilla de San Antonio;21.480;
2016;Municipios;1684;Vellón (El);48.389;
2016;Municipios;1697;Venturada;52.667;
2016;Municipios;1718;Villa del Prado;66.911;
2016;Municipios;1701;Villaconejos;55.549;
2016;Municipios;1723;Villalbilla;39.662;
2016;Municipios;1739;Villamanrique de Tajo;64.302;
2016;Municipios;1744;Villamanta;47.225;
2016;Municipios;1757;Villamantilla;53.900;
2016;Municipios;1760;Villanueva de la Cañada;43.204;
2016;Municipios;1782;Villanueva de Perales;50.249;
2016;Municipios;1776;Villanueva del Pardillo;28.830;
2016;Municipios;1795;Villar del Olmo;48.941;
2016;Municipios;1809;Villarejo de Salvanés;50.672;
2016;Municipios;1816;Villaviciosa de Odón;26.157;
2016;Municipios;1821;Villavieja del Lozoya;80.015;
2016;Municipios;1837;Zarzalejo;65.280;
