"";"Serie";"...2";"...3";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"41";"Municipios";"0297";"Cabanillas de la Sierra";1157772600;1220618800;1183764000;1265326000;1373798000;1486123000;1572714000;1774129200;19423960
"42";"Municipios";"0301";"Cabrera (La)";3,135e+09;3243673000;3447341100;3591774000;3947306000;4272081600;4475257800;4847296000;53947712
"43";"Municipios";"0318";"Cadalso de los Vidrios";2578218300;2616038400;2786450800;3030925000;3215916000;3589380000;3799877700;4240570000;45692904
"44";"Municipios";"0323";"Camarma de Esteruelas";9109392300;9284474800;10260689400;10793834000;11289815600;11756026400;12320150100;13432932500;153267620
"45";"Municipios";"0339";"Campo Real";6641205200;7149620000;7339547000;7957714100;8572230600;8673146200;9510643200;10408358400;113173488
"46";"Municipios";"0344";"Canencia";522204300;484236400;507669600;522799200;603276400;667966000;704381000;773348800;8453484
"47";"Municipios";"0357";"Carabaña";2032298100;1980694700;2134473600;2315658400;2478887200;2510916500;2705340600;3017105000;34159625
"48";"Municipios";"0360";"Casarrubuelos";4127199000;4290922400;4590084800;4930302600;5292258000;5415309200;5806356800;6258319200;69403160
"49";"Municipios";"0376";"Cenicientos";1684670400;1747924800;1824945300;1954659600;2088080400;2257924000;2320382000;2521209800;27406031
"50";"Municipios";"0382";"Cercedilla";9311835000;9553937600;10026556000;10694618400;11337007500;12001156200;12945058000;13857706800;147285074
"51";"Municipios";"0395";"Cervera de Buitrago";213679200;213605500;218652000;219153600;255393000;256307600;304357500;320587200;3520265
"52";"Municipios";"0513";"Chapinería";2503429500;2555918300;2756268000;2946580000;3231754200;3472170800;3687511800;4091399900;43939413
"53";"Municipios";"0528";"Chinchón";5356544000;5321422500;5750931500;6123430800;6492543200;6914446600;7504684000;8000668200;88681957
"54";"Municipios";"0409";"Ciempozuelos";24353892200;25240791100;26355142800;28136999100;29648837000;30008486400;31458898800;33681021000;366591190
"55";"Municipios";"0416";"Cobeña";13271391000;13734767800;14141965200;15011085000;15773298300;15781169200;16263187000;18103137600;195554377
"56";"Municipios";"0468";"Collado Mediano";10749791500;10945832100;11500170400;12461102200;13584402500;13202895200;14044903100;15326717000;173484752
