EXTINTAS.Colectivo empresarial y Directorio.Directorio.Directorio sector servicios.Unidades locales. Unidades locales de hostelería. Unidad: Número. Fuente: Directorio de Unidades de Actividad Económica. Instituto de Estadística de la Comunidad de Madrid.;
Municipios;1111;Pezuela de las Torres;2,00;
Municipios;1126;Pinilla del Valle;4,00;
Municipios;1132;Pinto;178,00;
Municipios;1147;Piñuécar-Gandullas;6,00;
Municipios;1150;Pozuelo de Alarcón;307,00;
Municipios;1163;Pozuelo del Rey;3,00;
Municipios;1179;Prádena del Rincón;2,00;
Municipios;1185;Puebla de la Sierra;1,00;
Municipios;9020;Puentes Viejas;5,00;
Municipios;1198;Quijorna;7,00;
Municipios;1202;Rascafría;45,00;
Municipios;1219;Redueña;3,00;
Municipios;1224;Ribatejada;3,00;
Municipios;1230;Rivas-Vaciamadrid;155,00;
Municipios;1245;Robledillo de la Jara;3,00;
Municipios;1258;Robledo de Chavela;24,00;
Municipios;1261;Robregordo;0,00;
Municipios;1277;Rozas de Madrid (Las);287,00;
Municipios;1283;Rozas de Puerto Real;5,00;
Municipios;1296;San Agustín del Guadalix;47,00;
Municipios;1300;San Fernando de Henares;155,00;
Municipios;1317;San Lorenzo de El Escorial;125,00;
Municipios;1338;San Martín de Valdeiglesias;45,00;
Municipios;1322;San Martín de la Vega;67,00;
Municipios;1343;San Sebastián de los Reyes;341,00;
Municipios;1356;Santa María de la Alameda;7,00;
Municipios;1369;Santorcaz;6,00;
Municipios;1375;Santos de la Humosa (Los);5,00;
Municipios;1381;Serna del Monte (La);6,00;
Municipios;1408;Serranillos del Valle;9,00;
Municipios;1415;Sevilla la Nueva;27,00;
Municipios;1436;Somosierra;3,00;
Municipios;1441;Soto del Real;41,00;
Municipios;1454;Talamanca de Jarama;9,00;
Municipios;1467;Tielmes;8,00;
Municipios;1473;Titulcia;8,00;
Municipios;1489;Torrejón de Ardoz;523,00;
Municipios;1505;Torrejón de Velasco;8,00;
Municipios;1492;Torrejón de la Calzada;35,00;
Municipios;1512;Torrelaguna;27,00;
Municipios;1527;Torrelodones;103,00;
Municipios;1533;Torremocha de Jarama;3,00;
Municipios;1548;Torres de la Alameda;31,00;
Municipios;9036;Tres Cantos;150,00;
Municipios;1551;Valdaracete;2,00;
Municipios;1564;Valdeavero;5,00;
Municipios;1570;Valdelaguna;2,00;
Municipios;1586;Valdemanco;6,00;
Municipios;1599;Valdemaqueda;6,00;
Municipios;1603;Valdemorillo;52,00;
Municipios;1610;Valdemoro;197,00;
Municipios;1625;Valdeolmos-Alalpardo;6,00;
Municipios;1631;Valdepiélagos;2,00;
Municipios;1646;Valdetorres de Jarama;17,00;
Municipios;1659;Valdilecha;14,00;
Municipios;1662;Valverde de Alcalá;1,00;
Municipios;1678;Velilla de San Antonio;35,00;
Municipios;1684;Vellón (El);6,00;
Municipios;1697;Venturada;5,00;
Municipios;1718;Villa del Prado;27,00;
Municipios;1701;Villaconejos;12,00;
Municipios;1723;Villalbilla;21,00;
Municipios;1739;Villamanrique de Tajo;6,00;
Municipios;1744;Villamanta;4,00;
Municipios;1757;Villamantilla;2,00;
Municipios;1782;Villanueva de Perales;1,00;
Municipios;1760;Villanueva de la Cañada;91,00;
Municipios;1776;Villanueva del Pardillo;49,00;
Municipios;1795;Villar del Olmo;3,00;
Municipios;1809;Villarejo de Salvanés;35,00;
Municipios;1816;Villaviciosa de Odón;86,00;
Municipios;1821;Villavieja del Lozoya;3,00;
Municipios;1837;Zarzalejo;8,00;
Notas;
Unidad local: Se corresponde con una empresa o parte de una empresa, sita en un lugar delimitado topográficamente. El concepto de unidad local es más amplio que el tradicional de "establecimiento" recogiendo otro tipo de situaciones en las que la vinculación de las actividades a "un lugar delimitado topográficamente" no es tan directa.;
;
Recoge la sección H de la CNAE93 Rev1.;
