cod_municipio,municipio,latitud,longitud,poblacion,g_supermercados_count,g_supermercados_reviews,g_supermercados_rating_wavg,g_conveniencia_count,g_conveniencia_reviews,g_conveniencia_rating_wavg,g_farmacias_count,g_farmacias_reviews,g_farmacias_rating_wavg,g_bancos_count,g_bancos_reviews,g_bancos_rating_wavg,g_cajeros_count,g_cajeros_reviews,g_cajeros_rating_wavg,g_gasolineras_count,g_gasolineras_reviews,g_gasolineras_rating_wavg,g_hospitales_clinicas_count,g_hospitales_clinicas_reviews,g_hospitales_clinicas_rating_wavg,g_medicos_familia_count,g_medicos_familia_reviews,g_medicos_familia_rating_wavg,g_escuelas_infantiles_count,g_escuelas_infantiles_reviews,g_escuelas_infantiles_rating_wavg,g_colegios_institutos_count,g_colegios_institutos_reviews,g_colegios_institutos_rating_wavg,g_universidad_fp_count,g_universidad_fp_reviews,g_universidad_fp_rating_wavg,g_paradas_bus_count,g_paradas_bus_reviews,g_paradas_bus_rating_wavg,g_estaciones_principales_count,g_estaciones_principales_reviews,g_estaciones_principales_rating_wavg,g_aparcamientos_count,g_aparcamientos_reviews,g_aparcamientos_rating_wavg,g_restaurantes_count,g_restaurantes_reviews,g_restaurantes_rating_wavg,g_cafeterias_count,g_cafeterias_reviews,g_cafeterias_rating_wavg,g_bares_count,g_bares_reviews,g_bares_rating_wavg,g_cines_count,g_cines_reviews,g_cines_rating_wavg,g_gimnasios_count,g_gimnasios_reviews,g_gimnasios_rating_wavg,g_parques_count,g_parques_reviews,g_parques_rating_wavg,g_centros_comerciales_count,g_centros_comerciales_reviews,g_centros_comerciales_rating_wavg,g_comisarias_count,g_comisarias_reviews,g_comisarias_rating_wavg,g_bomberos_count,g_bomberos_reviews,g_bomberos_rating_wavg,g_ayuntamientos_count,g_ayuntamientos_reviews,g_ayuntamientos_rating_wavg,g_juzgados_count,g_juzgados_reviews,g_juzgados_rating_wavg,aq_aqi,aq_co_value,aq_no2_value,aq_o3_value,aq_pm10_value,aq_pm25_value,aq_so2_value
164,Atazar (El),40.93333,-3.466667,107.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,1083,4.273,0,0,,20,1083,4.273,0,0,,20,1083,4.273,20,1083,4.273,1,11,4.6,1,3,4.3,2,710,4.224,0,0,,1,542,4.2,0,0,,0,0,,2,89,4.6,0,0,,0,0,,0,0,,1,30,2.7,20,1083,4.273,71,262.06,2.13,37.17,4.02,4.0,0.76
170,Batres,40.21029,-3.922307,1957.0,0,0,,1,2,2.5,1,17,4.9,0,0,,0,0,,0,0,,20,771,4.183,0,0,,20,771,4.183,1,0,,20,771,4.183,20,771,4.183,1,2,3.0,0,0,,1,136,3.9,0,0,,1,136,3.9,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,55,3.0,20,771,4.183,74,384.38,15.67,6.1,25.19,15.96,0.79
186,Becerril de la Sierra,40.71638,-3.989412,6553.0,2,614,3.804,2,471,3.736,3,49,4.139,3,40,3.685,2,15,4.5,1,242,3.7,20,7638,4.368,6,211,4.28,20,7638,4.368,3,29,5.0,20,7638,4.368,21,7641,4.367,20,50,4.382,9,30,4.02,20,10755,4.474,5,3528,4.434,15,8478,4.525,0,0,,7,159,4.897,20,697,4.696,0,0,,2,5,4.0,0,0,,1,111,3.8,20,7638,4.368,66,579.84,9.78,17.67,21.2,21.2,1.49
199,Belmonte de Tajo,40.13364,-3.339654,1919.0,1,26,4.0,0,0,,2,11,4.182,1,11,1.8,1,0,,0,0,,21,736,4.408,0,0,,20,735,4.407,1,0,,20,735,4.407,21,735,4.407,8,0,,1,0,,3,454,4.324,1,309,4.4,5,764,4.409,0,0,,1,6,4.3,3,86,4.6,0,0,,0,0,,0,0,,1,51,4.2,20,735,4.407,76,290.62,8.72,15.71,15.69,14.67,1.9
210,Berrueco (El),40.88814,-3.561255,828.0,1,366,4.2,0,0,,1,6,4.2,0,0,,0,0,,0,0,,20,2926,4.264,0,0,,20,2926,4.264,1,0,,20,2926,4.264,20,2926,4.264,9,2,3.0,2,1,5.0,5,6126,4.217,1,1355,3.9,3,1663,3.928,0,0,,1,0,,12,1384,4.28,0,0,,0,0,,0,0,,1,66,4.3,20,2926,4.264,76,280.11,4.2,31.04,12.49,8.48,0.84
203,Berzosa del Lozoya,40.97594,-3.525082,234.0,1,57,4.5,0,0,,0,0,,0,0,,0,0,,0,0,,20,330,4.517,0,0,,20,330,4.517,0,0,,20,330,4.517,22,330,4.517,11,0,,0,0,,2,571,4.597,0,0,,3,62,4.5,0,0,,0,0,,5,4,3.5,0,0,,0,0,,0,0,,1,12,4.3,20,330,4.517,73,266.28,3.65,33.93,10.03,9.06,0.76
231,Boalo (El),40.71746,-3.920084,8548.0,3,2239,4.105,0,0,,2,40,3.855,1,8,3.0,2,3,1.0,2,153,4.0,21,2247,4.467,0,0,,20,2247,4.467,9,234,4.903,20,2247,4.467,22,2251,4.466,20,13,3.923,6,51,4.235,20,11869,4.267,6,1080,4.508,13,4010,4.392,0,0,,5,322,4.875,20,142,4.407,0,0,,2,3,2.3,0,0,,1,77,3.2,20,2247,4.467,61,509.95,6.63,20.79,24.32,24.32,1.5
246,Braojos,41.04005,-3.643112,219.0,0,0,,0,0,,1,3,5.0,0,0,,0,0,,2,883,3.9,20,1964,4.687,0,0,,20,1964,4.687,1,0,,20,1964,4.687,23,1971,4.685,9,7,4.286,0,0,,4,943,4.433,1,465,3.9,3,1268,4.723,0,0,,0,0,,12,84,4.332,0,0,,0,0,,0,0,,2,34,4.4,20,1964,4.687,75,284.8,1.8,31.5,8.7,7.07,0.79
259,Brea de Tajo,40.23012,-3.109499,567.0,1,31,4.4,0,0,,2,4,4.3,0,0,,1,0,,0,0,,21,311,4.315,0,0,,20,311,4.315,3,0,,20,311,4.315,20,311,4.315,3,0,,1,7,4.6,1,17,4.4,0,0,,4,120,4.313,0,0,,3,1,3.0,12,6,4.483,0,0,,0,0,,0,0,,1,65,4.6,20,311,4.315,75,261.9,5.89,31.83,12.89,12.89,1.9
262,Brunete,40.40554,-3.997736,11263.0,6,2591,4.092,3,337,3.926,4,346,4.486,4,72,2.1,5,63,2.19,2,954,4.021,23,1512,4.081,8,696,3.304,20,1439,4.047,8,375,4.454,20,1439,4.047,22,1439,4.047,20,16,4.119,2,2,1.0,20,6611,4.189,12,2249,4.331,10,2291,4.263,0,0,,10,518,4.674,20,240,4.138,0,0,,2,7,3.9,0,0,,1,123,3.9,20,1439,4.047,76,365.14,15.89,6.09,19.73,15.13,1.31
278,Buitrago del Lozoya,40.99368,-3.636723,1970.0,4,855,3.964,2,403,3.767,1,45,2.6,2,59,2.163,2,39,2.4,3,493,4.1,21,6768,4.322,1,9,5.0,20,6765,4.322,3,0,,20,6765,4.322,23,6802,4.323,13,73,4.542,11,12,4.158,20,17523,3.97,4,1328,4.202,14,7816,3.932,0,0,,1,0,,12,661,4.233,0,0,,1,10,4.6,0,0,,1,84,4.1,20,6765,4.322,76,290.44,3.41,30.69,14.44,10.43,0.83
284,Bustarviejo,40.85811,-3.70969,2833.0,3,295,4.249,2,161,4.007,1,23,3.6,2,18,3.567,2,11,4.5,0,0,,20,610,4.385,0,0,,20,610,4.385,2,0,,20,610,4.385,20,610,4.385,15,15,3.853,6,10,4.1,10,4753,4.444,2,1044,4.423,9,1429,4.348,0,0,,0,0,,12,170,4.471,0,0,,1,0,,0,0,,1,155,3.4,20,610,4.385,83,385.14,2.73,22.0,16.06,10.24,1.16
297,Cabanillas de la Sierra,40.81968,-3.626066,949.0,1,23,3.5,1,6,4.5,2,38,4.4,1,10,2.7,1,0,,0,0,,20,493,4.348,1,7,1.0,20,493,4.348,4,3,5.0,20,493,4.348,23,497,4.349,17,20,3.56,1,0,,9,2111,4.264,0,0,,5,611,4.363,0,0,,1,0,,10,25,4.268,0,0,,0,0,,0,0,,3,180,4.05,20,493,4.348,84,359.83,3.04,20.32,15.49,7.34,1.16
301,Cabrera (La),40.86399,-3.615572,2952.0,3,825,3.859,1,10,4.6,1,49,3.5,1,32,4.2,1,32,4.2,4,436,3.883,20,2611,4.126,2,2,5.0,20,2611,4.126,4,0,,20,2611,4.126,22,2611,4.126,16,7,3.714,5,37,4.381,18,14327,4.123,6,617,4.317,8,6026,4.095,0,0,,3,267,4.24,19,2664,4.231,0,0,,1,0,,2,0,,0,0,,20,2611,4.126,81,317.48,3.96,24.81,17.54,9.83,0.98
318,Cadalso de los Vidrios,40.30094,-4.443737,3274.0,4,323,4.037,2,271,4.018,0,0,,3,25,3.532,4,21,3.824,2,154,4.0,21,1334,4.258,1,1,5.0,20,1334,4.258,2,0,,20,1334,4.258,21,1335,4.258,7,1,3.0,0,0,,11,2638,4.3,3,246,3.931,16,2510,4.286,0,0,,0,0,,11,44,4.495,0,0,,0,0,,0,0,,0,0,,20,1334,4.258,75,89.75,1.22,32.02,4.81,4.81,2.78
323,Camarma de Esteruelas,40.54861,-3.377597,8107.0,2,281,3.948,2,205,3.81,2,113,4.397,2,25,2.232,3,14,2.457,0,0,,20,729,4.175,0,0,,20,729,4.175,7,9,3.7,20,729,4.175,21,731,4.171,20,9,3.889,3,35,4.08,10,2242,4.429,3,466,4.424,6,342,4.142,0,0,,3,115,4.937,9,506,3.977,0,0,,0,0,,0,0,,1,104,3.0,20,729,4.175,85,467.14,9.7,11.59,17.43,8.33,2.26
339,Campo Real,40.33815,-3.380982,6766.0,2,837,4.099,1,11,4.9,2,66,4.6,4,55,2.969,4,39,3.326,1,245,3.7,21,425,4.078,4,89,2.978,20,423,4.074,3,4,5.0,20,423,4.074,21,424,4.073,7,8,2.65,2,17,3.9,20,5092,4.266,5,1185,4.459,11,3067,4.282,0,0,,3,196,4.015,8,143,4.077,0,0,,2,9,4.6,0,0,,1,226,3.8,20,423,4.074,88,384.31,9.78,10.43,13.44,7.01,2.46
344,Canencia,40.90981,-3.737718,468.0,1,33,4.5,0,0,,1,5,4.0,0,0,,0,0,,0,0,,20,2114,4.441,0,0,,20,2114,4.441,1,0,,20,2114,4.441,20,2114,4.441,2,9,4.578,0,0,,4,2133,4.38,1,296,4.4,3,811,4.405,0,0,,0,0,,9,35,4.92,0,0,,0,0,,0,0,,1,84,4.3,20,2114,4.441,77,367.19,4.15,26.04,20.53,14.47,1.07
