cod_municipio,municipio,latitud,longitud,altitud,salud,educacion,cultural,transporte,calidad_vida,overall_index
14,Acebeda (La),41.08697,-3.624634,1266.542,0.20500000000000007,0.545,0.1905366460673299,0.0,0.45042611474661387,0.27819255216278876
29,Ajalvir,40.53437,-3.481002,680.1722,0.24437018572481828,0.7663372991713885,0.5564921417574833,0.5,0.4136362403944885,0.4961671734096358
35,Alameda del Valle,40.9179,-3.843788,1109.934,0.3778126507638703,0.46500000000000025,0.30202111864251524,0.0,0.43438191496247003,0.3158431368737712
40,Álamo (El),40.22972,-3.992688,606.2238,0.2224307692307692,0.7415294024660135,0.5790327136720764,0.5,0.3297836890411894,0.4745553148820097
88,Aldea del Fresno,40.32399,-4.202217,476.7994,0.18467940754897266,0.5506319138872613,0.5016908300353419,0.5,0.2166000206410263,0.3907204344225204
91,Algete,40.59642,-3.497902,712.8972,0.2434620542430191,0.8170508650735203,0.6648266421984371,0.5,0.577038038962561,0.5604755200955076
105,Alpedrete,40.65875,-4.023713,916.7029,0.22405937606514667,0.73953408328129,0.5595616187626121,0.5,0.4844401209074355,0.5015190398032969
112,Ambite,40.3292,-3.181895,667.338,0.26054688377316115,0.5346984042464681,0.24772688254217762,0.5,0.13914972965503256,0.3364243800433679
127,Anchuelo,40.46549,-3.268585,761.7067,0.2374008954008954,0.6867809044465784,0.6167153857387516,0.5,0.26804624814361955,0.46178868674596896
151,Arroyomolinos,40.26884,-3.920291,597.4142,0.2504098436774494,0.6616608110091595,0.5918827953121866,0.5,0.6977632036971927,0.5403433307391976
164,Atazar (El),40.93333,-3.466667,900.2352,0.0,0.0,0.1730493703146872,0.0,0.2205174862728429,0.07871337131750603
170,Batres,40.21029,-3.922307,603.6849,0.246446715278491,0.6766739611309642,0.7094222151368634,0.5,0.2995179095888063,0.48641216022702494
186,Becerril de la Sierra,40.71638,-3.989412,1086.586,0.19256310248717357,0.7266243726288334,0.6228740908409789,0.5,0.32901511692791563,0.47421533657698023
199,Belmonte de Tajo,40.13364,-3.339654,732.0183,0.22526936478155996,0.7174690893865731,0.555158698879216,0.5,0.1781998401195081,0.4352193986333714
210,Berrueco (El),40.88814,-3.561255,937.1234,0.17423001136794242,0.12006323110970597,0.5294541364520291,0.0,0.2218880591662775,0.209127087619191
203,Berzosa del Lozoya,40.97594,-3.525082,1079.826,0.20500000000000007,0.0,0.20648251516560262,0.0,0.4431950646956236,0.17093551597224527
231,Boalo (El),40.71746,-3.920084,953.0439,0.1572772239984954,0.7430938093437395,0.676781840666599,0.5,0.35289538498137946,0.4860096517980427
246,Braojos,41.04005,-3.643112,1189.477,0.30522351233671996,0.635,0.23600818405417945,0.0,0.5475970259429712,0.3447657444667741
259,Brea de Tajo,40.23012,-3.109499,722.8417,0.28700646412411124,0.10507376962799031,0.3408460678176932,0.0,0.1709140826025886,0.18076807683447668
262,Brunete,40.40554,-3.997736,654.7903,0.2212533708952496,0.6973541447172441,0.6525786337433952,0.5,0.4768820067975448,0.5096136312306868
278,Buitrago del Lozoya,40.99368,-3.636723,977.8387,0.4385369532428356,0.641494888818632,0.5501383993417858,0.0,0.30566552441326134,0.38716715316330297
284,Bustarviejo,40.85811,-3.70969,1217.359,0.1773406593406593,0.6408941932764255,0.5629755745432434,0.0,0.27425718543863054,0.3310935225197918
297,Cabanillas de la Sierra,40.81968,-3.626066,921.8676,0.22347129275219169,0.6612177018365767,0.5081368997897209,0.5,0.3538362571871879,0.4493324303131354
301,Cabrera (La),40.86399,-3.615572,1040.395,0.3733969625879738,0.17742491305722416,0.5437559036305476,0.0,0.27877105428415,0.27466976671197907
318,Cadalso de los Vidrios,40.30094,-4.443737,799.9886,0.249978021978022,0.13963694804510488,0.5111504283306573,0.0,0.07119444196635519,0.19439196806402786
323,Camarma de Esteruelas,40.54861,-3.377597,639.19,0.2285548315990794,0.7503294525817886,0.5818968887279168,0.5,0.31600720336833565,0.475357675255424
339,Campo Real,40.33815,-3.380982,765.6791,0.33405131070580873,0.44349776843453764,0.6437659853945026,0.5,0.2688037125859533,0.4380237554241605
344,Canencia,40.90981,-3.737718,1142.31,0.2821556476310575,0.4800000000000002,0.2890765215738182,0.0,0.264747401067386,0.26319591405445236
357,Carabaña,40.25669,-3.234641,612.9524,0.23010825344867897,0.13717093476657183,0.2664820054262891,0.5,0.19343422946873848,0.2654390846220557
360,Casarrubuelos,40.17114,-3.833068,624.7643,0.2867814454373081,0.620647169603374,0.5988900096799123,0.5,0.3447377627576411,0.4702112774956472
376,Cenicientos,40.26463,-4.464909,778.7822,0.06197802197802199,0.12239224365054273,0.35063259512558065,0.0,0.06688103596961226,0.12037677934475152
382,Cercedilla,40.74145,-4.054667,1191.372,0.29203069945927085,0.7656133830916704,0.6163073214355929,0.5,0.3224468974613287,0.49927966028957255
395,Cervera de Buitrago,40.92196,-3.53016,916.3304,0.18990580847723706,0.015115923701127621,0.2945826326943918,0.0,0.1152030342308682,0.12296147982072494
513,Chapinería,40.37918,-4.20943,679.6159,0.17401085334418664,0.6144706447360597,0.5359530526598921,0.5,0.24258261220934207,0.4134034325898961
528,Chinchón,40.14019,-3.415684,777.1609,0.1823354264782836,0.5573716103410599,0.7023772736359,0.5,0.20241950437047498,0.4289007629651437
409,Ciempozuelos,40.15934,-3.6184,580.2641,0.22584047413260894,0.551007052487368,0.6178138181591386,0.5,0.45449633271935025,0.46983153549969314
416,Cobeña,40.56733,-3.504839,677.4468,0.22021716980337674,0.7904658401457331,0.6390801488634088,0.5,0.5040907278060862,0.530770777323721
