cod_municipio,municipio,poblacion,sanidad_medicos_familia,sanidad_farmacias,educacion_colegios_institutos,transporte_conectividad_paradas_bus,transporte_conectividad_estaciones,economia_empleo_total_pct,economia_empleo_paro_pct,bienestar_gimnasios,bienestar_parques,bienestar_aq_aqi,bienestar_aq_co_value,bienestar_aq_no2_value,bienestar_aq_o3_value,bienestar_aq_pm10_value,bienestar_aq_pm25_value,bienestar_aq_so2_value,ocio_cultura_restaurantes,ocio_cultura_cafeterias,ocio_cultura_bares,ocio_cultura_cines,servicios_bancos,servicios_cajeros,servicios_centros_comerciales,servicios_conveniencia,servicios_supermercados,servicios_gasolineras,servicios_bomberos,servicios_comisarias
1454,Talamanca de Jarama,4526.0,0,2,3,20,11,38.0,4.0,3,13,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,10,2,10,0,0,1,0,0,4,1,0,0
1467,Tielmes,2807.0,1,1,2,20,8,40.0,7.0,0,5,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,5,0,5,0,3,3,0,2,1,1,0,0
1473,Titulcia,1393.0,0,1,2,20,4,41.0,7.0,1,8,Moderado,Muy alto,Bueno,Bueno,Moderado,Moderado,Bueno,6,1,2,0,0,0,0,2,0,0,1,0
1492,Torrejón de la Calzada,10366.0,9,5,12,20,20,39.0,4.0,8,17,Moderado,Muy alto,Bueno,Bueno,Moderado,Alto,Bueno,20,11,18,0,6,8,0,5,9,2,0,1
1505,Torrejón de Velasco,4887.0,7,6,9,20,20,40.0,4.0,9,20,Moderado,Muy alto,Bueno,Bueno,Moderado,Moderado,Bueno,20,10,17,0,6,8,0,5,9,4,0,2
1512,Torrelaguna,4992.0,2,1,5,20,10,41.0,5.0,4,7,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,16,5,8,0,4,4,0,3,4,1,0,1
1527,Torrelodones,25250.0,20,10,20,24,21,43.0,3.0,20,20,Moderado,Muy alto,Bueno,Bueno,Moderado,Muy alto,Bueno,20,16,20,2,7,13,5,4,11,2,0,2
1533,Torremocha de Jarama,1134.0,2,2,5,20,17,30.0,4.0,0,6,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,5,0,3,0,0,1,0,1,1,0,0,0
1548,Torres de la Alameda,7742.0,3,4,4,20,20,44.0,6.0,2,12,Moderado,Muy alto,Bueno,Bueno,Moderado,Moderado,Bueno,17,5,13,0,2,2,0,2,4,4,0,2
1551,Valdaracete,653.0,0,1,2,20,4,39.0,8.0,0,0,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,0,0,1,0,0,0,0,0,0,0,0,0
1564,Valdeavero,1817.0,0,6,4,21,11,35.0,6.0,3,5,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,9,2,7,0,3,5,1,0,1,1,0,0
1570,Valdelaguna,1079.0,0,0,4,20,14,23.0,6.0,3,2,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,0,0,2,0,0,0,0,1,0,0,0,0
1586,Valdemanco,1065.0,1,1,1,20,11,38.0,4.0,0,17,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,4,3,2,0,0,0,0,0,1,0,0,0
1599,Valdemaqueda,836.0,0,1,1,20,11,35.0,9.0,1,13,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,5,0,5,0,0,0,0,0,1,0,0,0
1603,Valdemorillo,14139.0,2,4,8,21,20,43.0,4.0,8,19,Moderado,Muy alto,Bueno,Bueno,Moderado,Alto,Bueno,20,6,20,0,3,4,2,3,5,1,0,2
1625,Valdeolmos-Alalpardo,4579.0,2,1,6,23,18,41.0,3.0,2,12,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,5,1,7,0,1,1,0,0,2,0,0,0
1631,Valdepiélagos,623.0,0,1,2,20,2,43.0,6.0,1,4,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,1,0,0,0,0,0,0,0,0,0,0,0
1646,Valdetorres de Jarama,5050.0,2,2,3,21,15,40.0,6.0,0,8,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,5,2,11,0,1,1,0,2,4,1,0,1
1659,Valdilecha,3228.0,0,1,1,20,4,40.0,5.0,1,6,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,5,1,3,0,2,2,1,0,3,1,0,0
1662,Valverde de Alcalá,555.0,2,2,5,20,20,32.0,4.0,4,13,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,11,3,8,0,2,2,0,2,5,3,0,1
1678,Velilla de San Antonio,14008.0,5,6,10,21,20,45.0,5.0,13,20,Moderado,Muy alto,Bueno,Bueno,Moderado,Moderado,Bueno,20,11,20,0,5,5,2,1,5,5,0,1
1684,Vellón (El),2160.0,0,1,3,21,19,37.0,6.0,2,18,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,9,1,8,0,1,1,0,1,1,0,0,0
1697,Venturada,2577.0,1,1,2,23,17,38.0,3.0,2,5,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,8,0,6,0,2,0,0,1,2,1,0,0
1718,Villa del Prado,7424.0,3,3,4,20,11,39.0,5.0,3,11,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,12,5,8,1,4,6,0,2,5,3,0,1
1701,Villaconejos,3487.0,0,2,2,20,13,41.0,6.0,2,5,Moderado,Muy alto,Bueno,Bueno,Moderado,Moderado,Bueno,10,1,8,0,2,2,0,1,5,3,0,0
1723,Villalbilla,17967.0,2,2,5,20,20,39.0,3.0,5,14,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,13,4,8,0,2,2,0,2,5,5,0,1
1739,Villamanrique de Tajo,820.0,0,1,1,20,3,33.0,8.0,0,2,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,1,0,3,0,0,0,0,1,2,0,0,0
1744,Villamanta,2855.0,1,1,3,21,9,35.0,6.0,3,4,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,5,2,3,0,1,1,0,1,1,1,0,2
1757,Villamantilla,1620.0,1,1,2,21,7,39.0,6.0,1,2,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,2,0,1,0,0,0,0,1,1,0,0,0
1760,Villanueva de la Cañada,23714.0,20,7,19,20,20,42.0,3.0,17,20,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,20,11,20,0,7,9,1,5,9,3,1,2
1782,Villanueva de Perales,1718.0,1,1,7,22,11,41.0,6.0,1,9,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,1,1,1,0,0,0,1,0,1,0,0,0
1776,Villanueva del Pardillo,17994.0,15,5,16,22,20,47.0,3.0,18,20,Moderado,Muy alto,Bueno,Bueno,Moderado,Alto,Bueno,20,11,16,0,4,5,0,4,7,2,0,2
1795,Villar del Olmo,2274.0,0,1,3,20,5,53.0,5.0,1,14,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,2,1,3,0,0,0,0,0,0,0,0,0
1809,Villarejo de Salvanés,7887.0,4,3,7,21,20,40.0,6.0,3,4,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,20,7,20,0,4,4,1,2,2,4,0,1
1816,Villaviciosa de Odón,29294.0,20,9,20,21,20,41.0,3.0,20,20,Moderado,Muy alto,Bueno,Bueno,Bueno,Moderado,Bueno,20,20,20,3,12,14,3,5,12,7,1,2
1821,Villavieja del Lozoya,327.0,0,1,3,21,6,35.0,4.0,0,3,Moderado,Muy alto,Bueno,Bueno,Bueno,Bueno,Bueno,2,1,3,0,0,0,0,0,0,0,0,0
1837,Zarzalejo,1870.0,2,1,4,20,17,36.0,7.0,3,19,Moderado,Muy alto,Bueno,Bueno,Moderado,Alto,Bueno,6,0,2,0,1,2,0,0,2,0,0,0
