cod_municipio,municipio,latitud,longitud,altitud,sanidad,educacion,transporte_conectividad,economia_empleo,bienestar,ocio_cultura,overall_index
14,Acebeda (La),41.08697,-3.624634,1266.542,0.028502153833321123,0.24613143671205862,0.19186429740061242,0.19184616937615573,0.25848885116529213,0.31713390432583954,0.2056611354688799
29,Ajalvir,40.53437,-3.481002,680.1722,0.7987467904936947,0.8509343064711206,0.8855007806911006,0.252383083951247,0.9719669332852469,0.5080774033787848,0.7112682163785324
35,Alameda del Valle,40.9179,-3.843788,1109.934,0.42821088093359905,0.3193854292601114,0.17559933687268786,0.19174070905111368,0.25848885116529213,0.5581055650954598,0.3219217953963773
40,Álamo (El),40.22972,-3.992688,606.2238,0.731336204451364,0.8507772368670417,0.6662147688810444,0.28412824095150424,0.9292504896733188,0.5374941909126225,0.6665335219561493
88,Aldea del Fresno,40.32399,-4.202217,476.7994,0.4523156371247931,0.503347070378969,0.46447793176994323,0.20500456238086787,0.3844119266557884,0.5517112448303401,0.4268780621901169
91,Algete,40.59642,-3.497902,712.8972,0.7691362470690697,0.8827708809151955,0.8627114301838965,0.4954907478449202,0.9877016297023468,0.6143768686091708,0.7686979673874333
105,Alpedrete,40.65875,-4.023713,916.7029,0.8776208992891587,0.8538590614750998,0.6471772824691395,0.3718582568544686,0.9726457422382115,0.5100717139056123,0.7055388260386151
112,Ambite,40.3292,-3.181895,667.338,0.5153063485013342,0.5930770422937272,0.4729312881109383,0.17686436347901782,0.29601712075564873,0.506523220691753,0.4267865639720699
127,Anchuelo,40.46549,-3.268585,761.7067,0.6727215035771494,0.76302098781667,0.656560111376233,0.1950646885580396,0.9726930692820956,0.5577408608132561,0.6363002035705739
151,Arroyomolinos,40.26884,-3.920291,597.4142,0.8959128864701635,0.8636438577722167,0.8857919631020614,0.6211168832547281,0.9477856421167596,0.586882599097636,0.8001889719689276
164,Atazar (El),40.93333,-3.466667,900.2352,0.0,0.1078398070014177,0.22130366543436686,0.17756905571885895,0.0,0.22662447379998416,0.12222283365910462
170,Batres,40.21029,-3.922307,603.6849,0.7623880042099079,0.8233247690923099,0.8579419250838005,0.19864772085242263,0.970914750147523,0.6946793831150012,0.7179827587501607
186,Becerril de la Sierra,40.71638,-3.989412,1086.586,0.7730616253697074,0.8398019927334152,0.6438624978931531,0.25426220512170283,0.9693652830348554,0.5656659454843727,0.6743365916062011
199,Belmonte de Tajo,40.13364,-3.339654,732.0183,0.6232090188772484,0.8351806675435054,0.45433401951142327,0.19697043168219316,0.7166976540698046,0.5445733217480393,0.561827518905369
210,Berrueco (El),40.88814,-3.561255,937.1234,0.3769904442823149,0.39543024870944965,0.45087591939236654,0.18260610145460238,0.4747620056391209,0.6037392669060815,0.4140673310639893
203,Berzosa del Lozoya,40.97594,-3.525082,1079.826,0.028502153833321123,0.1078398070014177,0.2285728601518221,0.19277959339243458,0.0,0.30383614767630207,0.14358842700921626
231,Boalo (El),40.71746,-3.920084,953.0439,0.592766760416098,0.8504859771931268,0.4393621828155261,0.28406672061459093,0.9709604606598431,0.6383626544355923,0.6293341260224629
246,Braojos,41.04005,-3.643112,1189.477,0.3322191449042005,0.4617903994737663,0.21583561783341687,0.20129852744516982,0.25848885116529213,0.5030016890396751,0.3287723716435868
259,Brea de Tajo,40.23012,-3.109499,722.8417,0.45191118457330093,0.3594946145867909,0.4525265242760841,0.17812056413245791,0.26224557368679063,0.3263367906691726,0.3384392086540995
262,Brunete,40.40554,-3.997736,654.7903,0.7980677820672699,0.8392637231843499,0.8700378366657824,0.33619387806727963,0.9713431790995317,0.617838985926191,0.7387908975017341
278,Buitrago del Lozoya,40.99368,-3.636723,977.8387,0.38961600722623674,0.41596778575146487,0.24476341601636376,0.20801097365586618,0.25848885116529213,0.9103805887025929,0.40453793708630276
284,Bustarviejo,40.85811,-3.70969,1217.359,0.4895328397428104,0.5599236179534313,0.4208959337934213,0.20750593508270518,0.41093200790625417,0.6348497021493416,0.45394000610466057
297,Cabanillas de la Sierra,40.81968,-3.626066,921.8676,0.5453044987490689,0.5971824960632011,0.44131720108840405,0.19598007447299645,0.672948727756796,0.516787175736963,0.49492002897790494
301,Cabrera (La),40.86399,-3.615572,1040.395,0.5486109790938231,0.5120881241254084,0.45697084303866903,0.20979675054762417,0.5508602309434925,0.6022849096828528,0.4801019729053116
318,Cadalso de los Vidrios,40.30094,-4.443737,799.9886,0.2961750232318134,0.43463983969934683,0.1709819096537617,0.198304352582896,0.08741519122893021,0.8488034873493645,0.3393866339576854
323,Camarma de Esteruelas,40.54861,-3.377597,639.19,0.881539094264177,0.8512746013956531,0.8277166049379246,0.26958391489879013,0.960539347563131,0.5678767216220026,0.726421714113613
339,Campo Real,40.33815,-3.380982,765.6791,0.9138920223990431,0.7623872785405862,0.840184016483575,0.27106401513635214,0.9649010394172389,0.6158724081617418,0.7280501300230896
344,Canencia,40.90981,-3.737718,1142.31,0.45312817499864977,0.35532858972039594,0.2111593370834921,0.18383219329426945,0.25848885116529213,0.5473001452650318,0.3348728819211885
357,Carabaña,40.25669,-3.234641,612.9524,0.5113803546459349,0.4328786766949013,0.4795408309622332,0.19997382563840913,0.25848885116529213,0.44626690124023743,0.3880882400578347
360,Casarrubuelos,40.17114,-3.833068,624.7643,0.9182643738586018,0.8095199020617903,0.8153610362979422,0.23054243523872903,0.9857790850853929,0.5319130134834189,0.7152299743376459
376,Cenicientos,40.26463,-4.464909,778.7822,0.2877322624318848,0.39709356932475925,0.11458272945664028,0.18026622015767169,0.08741519122893021,0.6277158262537286,0.28246763314226914
382,Cercedilla,40.74145,-4.054667,1191.372,0.6794388246980569,0.8536991615229602,0.45078336716593903,0.26724134353811657,0.8766533442513706,0.562339755016538,0.6150259660321635
395,Cervera de Buitrago,40.92196,-3.53016,916.3304,0.057004307666642245,0.14386575717558653,0.23155524558495527,0.17021117259483567,0.29601712075564873,0.5456357592418064,0.24071489383657915
513,Chapinería,40.37918,-4.20943,679.6159,0.4866306134779338,0.617415747707561,0.4560958677370774,0.20190260219144374,0.5345206642788979,0.5552727395945338,0.47530637249790786
528,Chinchón,40.14019,-3.415684,777.1609,0.5227052547443023,0.6044717410129427,0.6702702930039337,0.23644259892021,0.596842986630881,0.7794234666694384,0.568359390163618
409,Ciempozuelos,40.15934,-3.6184,580.2641,0.874498464825169,0.8141623715825954,0.8120611739753005,0.4563167557569666,0.974626670366298,0.5860721917698314,0.7529562713793602
416,Cobeña,40.56733,-3.504839,677.4468,0.6764436251150285,0.8620767459090751,0.8646131980863683,0.2927179260669304,0.9825833378840769,0.5971672933395156,0.7126003544001659
468,Collado Mediano,40.69389,-4.023123,1029.724,0.872222390971569,0.8392089807909313,0.6507159277638572,0.26278845265180334,0.9677822939414407,0.6508352321839914,0.7072588797172655
437,Colmenar de Oreja,40.10758,-3.387693,756.9265,0.5258893210796592,0.6031094739026664,0.4712909542756776,0.29242237087783207,0.596842986630881,0.7004774039690653,0.5316720851226303
421,Colmenar del Arroyo,40.41858,-4.198538,679.1825,0.46749861110935853,0.5427898398911878,0.43796824552265873,0.19249537758546464,0.46165485458627153,0.6441484896388285,0.4577592363889617
442,Colmenarejo,40.56101,-4.016842,875.1868,0.889168160764253,0.8466218056621935,0.8378108933359398,0.2955848194641262,0.978039251969209,0.5412526263531552,0.731412926258146
480,Corpa,40.42489,-3.262723,819.1653,0.5546659284438176,0.42638857034625904,0.6649333666346233,0.18092507974579866,0.5111092604716898,0.5389630803343096,0.47949754766274966
506,Cubas de la Sagra,40.1917,-3.837347,648.7275,0.9172648186185591,0.8180532081777993,0.8005393917393495,0.2756065531846011,0.9555256109658139,0.599092076745011,0.7276802765718556
534,Daganzo de Arriba,40.54481,-3.457924,665.5711,0.8228648772238489,0.8597217621616992,0.8770930280921504,0.3318444403884818,0.9913939661155967,0.5361062400885334,0.7365040523450518
549,Escorial (El),40.58508,-4.12952,915.7729,0.7347861496646966,0.8072971935804893,0.6382788691841357,0.36734008847430244,0.9839930842426231,0.6086871814883107,0.6900637611057596
552,Estremera,40.18403,-3.106115,643.0197,0.44636399354258915,0.3246728784327557,0.23828819582363164,0.18958675971773453,0.26224557368679063,0.3225262596076671,0.2972806101351948
565,Fresnedillas de la Oliva,40.48651,-4.172033,895.7322,0.49008927783305056,0.662296891976747,0.21211974841534115,0.18793488718540785,0.6092084165404008,0.576158864867407,0.4563013478030591
571,Fresno de Torote,40.59229,-3.41205,657.2809,0.5643137562652423,0.8382795677778888,0.6692971310116146,0.20561892182860722,0.7236862522037564,0.6101034255222687,0.6018831757682296
590,Fuente el Saz de Jarama,40.63877,-3.51129,642.1251,0.7155061054495964,0.8594996489051577,0.8555611768100044,0.2773394204855823,0.9903251477465786,0.695468272469748,0.7322832953111112
604,Fuentidueña de Tajo,40.11819,-3.159549,565.6978,0.3602012805899798,0.17852335825975257,0.4458622311765871,0.1887362081279697,0.27601892948296713,0.3592450401337414,0.3014311746284996
611,Galapagar,40.57736,-4.00357,884.4304,0.8782508528515556,0.8805384907980842,0.8470911461533379,0.6570443254199503,0.9706636986992678,0.6304003430625541,0.8106648094974584
626,Garganta de los Montes,40.92143,-3.689205,1125.801,0.451428541089272,0.3234987697631254,0.23626671504611912,0.18889986533657638,0.2995476865542944,0.5536097020901319,0.34220854664658656
632,Gargantilla del Lozoya y Pinilla de Buitrago,40.96463,-3.718601,1136.591,0.48230396875374154,0.4002574704423125,0.2331026439384279,0.17642837587796104,0.0,0.6346359380943828,0.32112139951780433
647,Gascones,41.01809,-3.641817,1046.484,0.08550646149996337,0.4258472390134817,0.22882132073884548,0.17881865489575027,0.25848885116529213,0.5133431370082936,0.28180427738693775
663,Griñón,40.21424,-3.856192,676.9866,0.9138119570597201,0.807141919179279,0.7720310286960633,0.33071359217904667,0.963920308514652,0.6001610256851546,0.7312966385523193
679,Guadalix de la Sierra,40.78483,-3.692719,841.0,0.5998235789457624,0.715601590248773,0.4715328828705741,0.26534691045109515,0.5848077667855751,0.5594134347685578,0.5327543606783897
685,Guadarrama,40.67348,-4.090732,965.5875,0.6513802339133149,0.8870921018377346,0.6393143902927021,0.38941066489629894,0.9915502947605254,0.5655377767478108,0.6873809104080645
698,Hiruela (La),41.0785,-3.454731,1255.356,0.057004307666642245,0.1078398070014177,0.16929378708779863,0.20063914376081185,0.0,0.272358975398661,0.13452267015255523
702,Horcajo de la Sierra,41.06738,-3.585321,1080.612,0.08550646149996337,0.28207459717234323,0.19809733065937388,0.18482844897264658,0.25848885116529213,0.5204267079661101,0.2549037329059549
719,Horcajuelo de la Sierra,41.06009,-3.54552,1138.176,0.057004307666642245,0.210188276251774,0.18534499181504027,0.19433137685247334,0.25848885116529213,0.3821276452503469,0.21458090816692818
724,Hoyo de Manzanares,40.62273,-3.90712,1005.688,0.7317155888648925,0.8460951711827736,0.8472707064695375,0.2882969764764522,0.9942287678888709,0.6311547211920383,0.7231269886790942
730,Humanes de Madrid,40.24954,-3.827206,675.6912,0.8989679039134932,0.8054620491251203,0.8514716197005725,0.4495818427478093,0.9609806573712941,0.4987387831721688,0.7442004760050764
758,Loeches,40.38393,-3.409393,639.8891,0.8980393607419562,0.8351667063376375,0.8943016822975947,0.311931067477707,0.9737708628109674,0.6268285553536582,0.75667303916992
761,Lozoya,40.9515,-3.791897,1111.051,0.4497003117606121,0.3198520621929132,0.207283783836197,0.19229944145125635,0.25848885116529213,0.5479283673577375,0.32925880296066806
9015,Lozoyuela-Navas-Sieteiglesias,40.92643,-3.617723,1022.991,0.4524765769829397,0.32566635499936597,0.4483625085226129,0.18864004269784376,0.4352594460276043,0.5370066896204655,0.39790193647513866
783,Madarcos,41.04731,-3.582663,1057.624,0.08550646149996337,0.28207459717234323,0.18767710205811114,0.20071188599533185,0.25848885116529213,0.5683018159953194,0.2637934523143935
822,Manzanares el Real,40.72705,-3.864914,917.528,0.49130268686871836,0.7041899027439957,0.6534391373823946,0.2933624746476369,0.7697625047041006,0.8454292031055595,0.6262476515754009
838,Meco,40.5542,-3.328439,670.2038,0.9138384369967124,0.8456530208314429,0.5992335735208659,0.371570967772285,0.970535265404901,0.5566761577724643,0.709584570383112
843,Mejorada del Campo,40.39701,-3.487864,580.1962,0.8903713011876186,0.8362503058696331,0.9077294254167504,0.5260943551604532,0.964407578861989,0.6740652841645054,0.7998197084434917
856,Miraflores de la Sierra,40.81381,-3.766699,1149.553,0.5874037823478373,0.852359539704465,0.4292563952021672,0.2625938949013042,0.6417293766527921,0.5466532991258644,0.5533327146557383
869,Molar (El),40.73291,-3.582258,819.3329,0.6027882344858617,0.8475161310784768,0.6797682616196852,0.29961775618774295,0.9105616898075366,0.6139954820070682,0.6590412591977285
875,Molinos (Los),40.71456,-4.072706,1046.887,0.715793173975636,0.8385543307538401,0.45701376310262565,0.24472012745071245,0.9850544954348768,0.5720152591500204,0.6355251916446185
881,Montejo de la Sierra,41.05928,-3.530301,1151.855,0.45509829361744086,0.21028611864090985,0.2120762205395668,0.19905699191902773,0.25848885116529213,0.4196544807629514,0.2924434927741981
894,Moraleja de Enmedio,40.26033,-3.861412,682.4211,0.8999335846401179,0.7686790683595282,0.8901505497015076,0.26785633207373843,0.9432012513541486,0.5105404835818782,0.7133935449518197
908,Moralzarzal,40.68117,-3.97335,982.0547,0.8664335493584088,0.86462019725462,0.6372572219579853,0.34834438313484534,0.9633181084805552,0.5588631857053006,0.7064727743152859
915,Morata de Tajuña,40.22751,-3.436966,559.4251,0.4203062572084158,0.2964366877013265,0.8331665181185652,0.2842853676158569,0.28579836424902894,0.5104083372756527,0.4384002553614743
936,Navacerrada,40.72893,-4.0151,1193.742,0.7251370798554071,0.8418751694413189,0.46838982621302294,0.22161030580917426,0.9913793729553427,0.5693513098062252,0.6362905106800819
941,Navalafuente,40.82451,-3.673573,906.057,0.6145502861639477,0.8465312658442369,0.4626733977716435,0.18940255758184957,0.5481890377554798,0.5377175877970999,0.5331773554857095
954,Navalagamella,40.46916,-4.12338,759.7007,0.4858813045517515,0.7266078935213379,0.4728261371749701,0.2016316022507993,0.7267930538647295,0.5445573163329098,0.5263828846160831
967,Navalcarnero,40.28781,-4.013766,672.8241,0.8998150007829251,0.8820293272161944,0.8770972238617009,0.5487425864233104,0.975838374681016,0.7506835544681313,0.8223676779055462
973,Navarredonda y San Mamés,40.99078,-3.726047,1219.314,0.057004307666642245,0.28207459717234323,0.11872610738380202,0.19006522661351735,0.0,0.4561764179602291,0.18400777613275565
992,Navas del Rey,40.38501,-4.250652,717.2259,0.47760552921850064,0.580980547505738,0.4407756749730535,0.20613044854187257,0.4226471234245712,0.631745837940318,0.4599808602673423
1006,Nuevo Baztán,40.36552,-3.243183,834.9736,0.557357167489729,0.5680696504037812,0.6078237257701714,0.24546769758836573,0.37959291789886496,0.6537578533177066,0.5020115020781032
1013,Olmeda de las Fuentes,40.36943,-3.221704,785.2642,0.5674175940242516,0.5378940649435506,0.43290540257101384,0.18961001945346462,0.33354539034600533,0.5024788864390642,0.42730855962955844
1028,Orusco de Tajuña,40.28515,-3.208557,662.3139,0.5220221855481539,0.4638225106327419,0.48120049343183646,0.18479121942287552,0.25848885116529213,0.3665349025829734,0.37947669379731225
1049,Paracuellos de Jarama,40.50481,-3.53227,692.0413,0.9024088022971872,0.8645817599502709,0.9049816101646996,0.5298470742382362,0.9651499620966145,0.5887788789098356,0.7926246812761407
